standard_id,standard_number,title,jurisdiction,standard_level,status,publish_date,effective_date,abolished_date,last_review_date,authority,scope,official_url,source_checked_at,notes
STD-000015,GB/T 30375-2013,茶葉貯存,中國,國家推薦性標準,現行,2013-12-31,2014-06-22,,2021-05-17,全國茶葉標準化技術委員會,茶葉一般貯存要求；引用時須連同產品要求及所在地適用規範核對。,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE69D3A7E05397BE0A0AB82A,2026-09-12,2026-09-12 官方平台仍列 GB/T 30375-2013 為現行；修訂計劃 20251082-T-442 處於「正在批准」，不再標作暫緩。修訂計劃進度不等同新版標準已生效。
STD-000018,GB/T 30766-2014,茶葉分類,中國,國家推薦性標準,現行,2014-03-27,2014-10-27,,,中華全國供銷合作總社,建立茶葉分類的一般框架；用來說明普洱茶在茶類分類中的位置，但不取代 GB/T 22111 對地理標誌產品普洱茶的定義。,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=1FF5A0EB54D6C8ADF201F54F53BA32DC&refer=outter,2026-09-12,官方國家標準全文公開系統顯示現行。
STD-000021,GB/T 38126-2019,電子商務交易產品信息描述 茶葉,中國,國家推薦性標準,現行,2019-10-18,2020-05-01,,,國家標準化管理委員會,規範電商交易中的茶葉產品信息描述；可用於審核網售普洱茶頁面的資料欄位，但不能單憑欄位齊全判定真偽或品質。,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=ACAFC3EEF730E7EB7BCECFB375029539,2026-09-12,
STD-000020,GB/T 38208-2019,農產品基本信息描述 茶葉,中國,國家推薦性標準,現行,2019-12-10,2020-07-01,,,國家標準化管理委員會,規範茶葉農產品基本信息描述；本庫用來檢查產地、品種、生產者、日期及批次等欄位是否足以支持追溯。,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=98F761CE3A47AA75F00ABD5647AD2429,2026-09-12,
STD-000019,GB/T 40633-2021,茶葉加工術語,中國,國家推薦性標準,現行,2021-10-11,2022-02-01,,,中華全國供銷合作總社,茶葉加工通用術語的國家層級依據；與 GH/T 1124-2016 並列時，以使用場景、發布層級及具體條文核對，不把相近詞彙當成完全同義。,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=2EB1AAAEF4885CEB94C68E865AD49E77,2026-09-12,
STD-000023,GB/T 46114-2025,茶葉供應鏈管理技術規範,中國,國家推薦性標準,現行,2025-12-02,2026-04-01,,,國家市場監督管理總局；國家標準化管理委員會,茶葉供應鏈管理的一般技術要求；本庫用於組織批次、流向、供應商及記錄控制，不把供應鏈合規等同感官品質。,https://std.samr.gov.cn/gb/search/gbDetailed?id=4507EFE13CADCB6AE06397BE0A0A601F,2026-09-12,官方標準目錄顯示已於 2026-04-01 實施。
STD-000017,GB/T 8302-2013,茶 取樣,中國,國家推薦性標準,現行,2013-12-31,2014-06-22,,2021-07-26,全國茶葉標準化技術委員會,茶樣抽取方法；判讀化學、污染物或品質研究前，應先檢查取樣是否具代表性。,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE66D3A7E05397BE0A0AB82A,2026-09-12,
STD-000022,GB/T 8313-2018,茶葉中茶多酚和兒茶素類含量的檢測方法,中國,國家推薦性標準,現行,2018-07-13,2018-11-01,,,中華全國供銷合作總社,茶多酚及兒茶素含量檢測方法；比較研究數值前，仍須核對取樣、樣品前處理、乾基／濕基及統計設計。,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=2CA7DCE4CB29B8979331342529869F2E,2026-09-12,採用國際標準，官方平台因版權限制不提供全文；本庫只記錄題錄與使用限制。
STD-000016,GH/T 1124-2016,茶葉加工術語,中國,供銷合作行業推薦性標準,現行,2016-09-30,2016-11-01,,,全國茶葉標準化技術委員會；中華全國供銷合作總社,茶葉加工共通術語；本庫用於校正工藝詞彙，不以通用定義取代普洱茶特定工藝。,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F2407CBB19E05397BE0A0AB44A,2026-09-12,
STD-000003,GH/T 1244-2019,固態速溶普洱茶,中國,供銷合作行業推薦性標準,現行,2019-03-21,2019-10-01,,,中華全國供銷合作總社,固態速溶普洱茶產品；不應把其規格直接套用於散茶或緊壓茶。,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B7C728334D2CB21E05397BE0A0AD6B8,2026-09-12,
STD-000002,NY/T 779-2004,普洱茶,中國,農業行業推薦性標準,現行,2004-04-16,2004-06-01,,,農業農村部,普洱茶行業標準。須與較後發布的地理標誌國家標準及現行地方標準一併閱讀。,https://std.samr.gov.cn/hb/search/stdHBDetailedCNF?id=B9291CDD478A1B55E05397BE0A0A4467,2026-09-12,官方平台列為現行。
STD-000004,SN/T 4256-2015,出口普洱茶良好生產規範,中國,出入境檢驗檢疫行業推薦性標準,現行,2015-05-26,2016-01-01,,,國家認證認可監督管理委員會歸口,出口普洱茶生產的良好操作與管理規範。,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F23985BB19E05397BE0A0AB44A,2026-09-12,
STD-000012,DB53/T 216-2007,普洱茶中茶多酚的測定方法,雲南省,地方推薦性標準,已廢止,2007-04-16,2007-05-01,2018-11-14,,原雲南省質量技術監督局,曾用於普洱茶及其製品中茶多酚測定；研究比較時須核對當時採用的方法版本。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D10142E24E05397BE0A0A3A10,2026-09-12,
STD-000011,DB53/T 236-2007,普洱茶沖泡方法,雲南省,地方推薦性標準,已廢止,2007-12-16,2008-01-01,2026-01-29,,原雲南省質量技術監督局,曾規定普洱茶沖泡方法；只作歷史方法參照，不代表現行要求。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7EFD2E24E05397BE0A0A3A10,2026-09-12,官方平台已列明廢止日期。
STD-000005,DB5308/T 53-2020,普洱茶貯存技術規範,雲南省普洱市,地方推薦性標準,已廢止,2020-01-10,2020-02-10,2026-08-20,,普洱市市場監督管理局,普洱茶貯存環境、管理及品質控制；用於區分規範要求與市場上的『乾倉／濕倉』俗稱。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D4B71AE05397BE0A0A41E1,2026-09-12,全國標準信息公共服務平台記錄於 2026-08-20 廢止。本庫保留作歷史資料，引用現行操作要求前須另查適用標準。
STD-000006,DB5308/T 58-2020,普洱茶加工技術規程,雲南省普洱市,地方推薦性標準,已廢止,2020-01-10,2020-02-10,2026-08-20,,普洱市市場監督管理局,普洱茶加工流程和操作要求，本庫用作理解歷史工藝規範的索引。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1,2026-09-12,全國標準信息公共服務平台記錄於 2026-08-20 廢止。本庫保留作歷史資料，引用現行操作要求前須另查適用標準。
STD-000025,GB 2762-2022,食品安全國家標準 食品中污染物限量,中國,食品安全國家強制性標準,已被取代,2022-06-30,2023-06-30,2026-09-02,,國家衛生健康委員會；國家市場監督管理總局,現階段食品污染物限量的一般依據；茶葉個案須核對適用食品類別與檢測結果，不應以『通過某項』推論所有污染物均合格。,https://www.nhc.gov.cn/sps/c100088/202509/5dc5e1e2b26d4d27a7913b9e71bbe931.shtml,2026-09-12,GB 2762-2025 已於 2026-09-02 實施並取代此版；保留本條供回查歷史版本。
