document_id,title,author,published_date,document_type,source_name,source_url,doi,evidence_level,rights_status,license,fulltext_status,word_count,page_count,topics
DOC-000415,CV-YOLOv10-AR-M: Foreign Object Detection in Pu-Erh Tea Based on Five-Fold Cross-Validation.,Yuan W; Yang C; Wang X; Wang Q; Chen L; Zou M; Fan Z; Zhou M; Wang B,2025-05-09,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12111146/fullTextXML,10.3390/foods14101680,B,OPEN_ACCESS,cc by,FULL_TEXT,4361,0,geography:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS | storage:MENTIONS | terroir:MENTIONS
DOC-000407,"Grade identification of ripened Pu-erh teas, and their differences of phenolic components, in vitro antioxidant capacity and hypoglycemic effect.",Ma C; Ma B; Wang J; Wang Z; Zhou B; Chen X,2025-04-03,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12005310/fullTextXML,10.1016/j.fochx.2025.102421,B,OPEN_ACCESS,cc by,FULL_TEXT,6911,0,chemistry:SUBSTANTIVE | fermentation:SUBSTANTIVE | cultivar:MENTIONS | geography:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000489,Correction: Detection and recognition of foreign objects in Pu-erh Sun-dried green tea using an improved YOLOv8 based on deep learning.,"PLOS One
 Staff.",2025-03-28,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11952237/fullTextXML,10.1371/journal.pone.0321409,B,OPEN_ACCESS,cc by,FULL_TEXT,54,0,geography:MENTIONS
DOC-000405,Characterization of Volatile Substances in Pu-erh Tea (Raw Tea) at Different Storage Times.,Liu Y; Wang Z; Zhang X; Chen H; Ruan D; Bai S; Huang J; Liu Z,2025-02-28,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11898881/fullTextXML,10.3390/foods14050840,B,OPEN_ACCESS,cc by,FULL_TEXT,5424,0,storage:CORE | sensory:SUBSTANTIVE | cultivar:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000400,"Characteristic Changes and Potential Markers of Flavour in Raw Pu-Erh Tea with Different Ageing Cycles Analysed by HPLC, HS-SPME-GC-MS, and OAV.",Xu J; Deng X; Wu Y; Zhou M; Du C; Wang Q; Xia Y; He J; Yuan W; Wu W; Li H; Wang Y; Li T; Wang B,2025-02-27,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11898670/fullTextXML,10.3390/foods14050829,B,OPEN_ACCESS,cc by,FULL_TEXT,6078,0,sensory:CORE | storage:CORE | chemistry:SUBSTANTIVE | geography:SUBSTANTIVE | cultivar:MENTIONS | history:MENTIONS | industry:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000433,"Kinetics, pathways, mechanism and toxicity evaluation of chiral pesticide Paichongding during the fermentation of Puer tea.",Qin S; Lin T; Tian H; Du L; Li K; Cao Q; Liu H; Pang G; Chang Q,2025-02-24,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11919595/fullTextXML,10.1016/j.fochx.2025.102300,B,OPEN_ACCESS,cc by,FULL_TEXT,3506,0,fermentation:CORE | safety:CORE | chemistry:SUBSTANTIVE | cultivar:MENTIONS | geography:MENTIONS | history:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000401,"An integrated flavoromics and chemometric analysis of the characteristic flavor, chemical basis and flavor wheel of ancient plant ripened pu-erh tea.",Wang T; Bo N; Guan Y; Yang D; Chen Q; Liu S; Wang Z; Duan H; Ma Y; Zhao M,2025-02-15,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11880732/fullTextXML,10.1016/j.fochx.2025.102278,B,OPEN_ACCESS,cc by,FULL_TEXT,6022,0,chemistry:CORE | sensory:CORE | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | standards:MENTIONS
DOC-000474,Discriminating the adulteration of varieties and misrepresentation of vintages of Pu'er tea based on Fourier transform near infrared diffuse reflectance spectroscopy.,Yang Z; Lu X; Chen L,2025-02-05,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11835838/fullTextXML,10.3389/fchem.2025.1546702,B,OPEN_ACCESS,cc by,FULL_TEXT,4931,0,cultivar:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | storage:MENTIONS
DOC-000402,"Quantitative descriptive analysis, non-targeted metabolomics and molecular docking reveal the dynamic aging and taste formation mechanism in raw Pu-erh tea during the storage.",Ma B; Ma C; Zhou B; Chen X; Wang Y; Li Y; Yin J; Li X,2025-01-27,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11833447/fullTextXML,10.1016/j.fochx.2025.102234,B,OPEN_ACCESS,cc by-nc,FULL_TEXT,7283,0,chemistry:CORE | sensory:CORE | storage:CORE | cultivar:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000444,Detection and recognition of foreign objects in Pu-erh Sun-dried green tea using an improved YOLOv8 based on deep learning.,Wang H; Guo X; Zhang S; Li G; Zhao Q; Wang Z,2025-01-08,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11709275/fullTextXML,10.1371/journal.pone.0312112,B,OPEN_ACCESS,cc by,FULL_TEXT,6091,0,geography:SUBSTANTIVE | chemistry:MENTIONS | culture:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | safety:MENTIONS | sensory:MENTIONS | standards:MENTIONS | storage:MENTIONS | terroir:MENTIONS
DOC-000064,"BEYOND SURPLUS: A REVIEW OF CULTURAL, ECOLOGICAL, AND TECHNOLOGICAL DRIVERS OF SUSTAINABLE TEA DEVELOPMENT IN YUNNAN, CHINA",C.X. FU; Zhiqiang Mao; Qian Zhang; Shengtao Xu; Ju-Ying Yang; Abdul Jamil; Shuming Liu; Y. Yuan,2025-01-01,journal_article,OpenAlex,https://doi.org/10.15666/aeer/2305_1005110073,https://doi.org/10.15666/aeer/2305_1005110073,B,OPEN_ACCESS,unknown,FULL_PDF,12569,23,geography:CORE | terroir:CORE | culture:SUBSTANTIVE | industry:SUBSTANTIVE | standards:SUBSTANTIVE | chemistry:MENTIONS | cultivar:MENTIONS | fermentation:MENTIONS | history:MENTIONS | microbiology:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | safety:MENTIONS | sensory:MENTIONS | storage:MENTIONS
DOC-000198,Metabolome and transcriptomics analyses reveal quality differences between Camellia tachangensis F. C. Zhang and C. sinensis (L.) O. Kunzte,Yunfei Xu; Qihang Zhou; Xinglin Wang; Xingpan Meng; Zhengdong Zhang; Xu Zhang; Ximin Zhang; Suzhen Niu; Guiping Chen; Lunxian Liu; Tie Shen,2024-12-05,journal_article,OpenAlex,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0314595&type=printable,https://doi.org/10.1371/journal.pone.0314595,B,OPEN_ACCESS,cc-by,FULL_PDF,11078,20,chemistry:CORE | standards:SUBSTANTIVE | cultivar:MENTIONS | geography:MENTIONS | history:MENTIONS | industry:MENTIONS | mountain_and_village:MENTIONS | production:MENTIONS | sensory:MENTIONS
DOC-000420,Characterization of primary aroma compounds in Pu-erh raw tea sourced from various regions using gas chromatography-mass spectrometry and headspace solid-phase microextraction.,Du L; Ye Y; Shao J; Wang Y; Zhu G; Jiang H; Liu H; Liu Z,2024-12-01,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11673521/fullTextXML,10.1111/1750-3841.17562,B,OPEN_ACCESS,cc by,FULL_TEXT,5455,0,chemistry:CORE | geography:CORE | sensory:CORE | cultivar:MENTIONS | culture:MENTIONS | fermentation:MENTIONS | microbiology:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000412,Enhanced Fermentation of Pu-Erh Tea with Aspergillus niger : Quality and Microbial Community Analysis.,Zheng J; Yu L; Aaqil M; Wang Q; Peng W; Zhuang L; Gong W; Zheng T; Zhao M; Wang C; Jiang X; Yan L; Yang R,2024-11-28,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11643846/fullTextXML,10.3390/molecules29235647,B,OPEN_ACCESS,cc by,FULL_TEXT,6144,0,culture:CORE | fermentation:CORE | microbiology:CORE | sensory:SUBSTANTIVE | chemistry:MENTIONS | cultivar:MENTIONS | geography:MENTIONS | industry:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | safety:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000449,"The Growing Altitude Influences the Flavor Precursors, Sensory Characteristics and Cupping Quality of the Pu'er Coffee Bean.",Hu R; Xu F; Chen X; Kuang Q; Xiao X; Dong W,2024-11-28,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11640416/fullTextXML,10.3390/foods13233842,B,OPEN_ACCESS,cc by,FULL_TEXT,5505,0,sensory:CORE | terroir:CORE | chemistry:MENTIONS | cultivar:MENTIONS | geography:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000410,Characterization of the influence of extraction factors on instant Pu-erh tea: Focusing on changes in sensory quality and aroma profile.,Chen G; Xue Y; Zhu G; Xie H; Zhang J; Xiao W; He C; Huang J; Liu Z; Wang C,2024-10-23,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11599999/fullTextXML,10.1016/j.fochx.2024.101925,B,OPEN_ACCESS,cc by,FULL_TEXT,6206,0,sensory:CORE | chemistry:SUBSTANTIVE | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | safety:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000199,Distinct effects of three tea varieties made green teas on improving diabetic dyslipidemia induced by high-fat diet in C57BL/6J mice,Wei Gu; Zhutong Wang; Guohuo Wu; Huimin Guo; Huijun Cheng; Cong Li; Linbo Chen; Daxiang Li; Zhongwen Xie,2024-09-04,journal_article,OpenAlex,https://www.sciopen.com/local/article_pdf/10.26599/FSHW.2024.9250271.pdf,https://doi.org/10.26599/fshw.2024.9250271,B,OPEN_ACCESS,cc-by-nc-nd,FULL_PDF,14358,18,chemistry:MENTIONS | cultivar:MENTIONS | geography:MENTIONS | history:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS
DOC-000396,NEW ZEALAND INDUSTRIES. TEA PACKING AND BLENDING — en timed transcript,Ngā Taonga,2024-04-01 11:31:02,video_transcript,Wikimedia Commons,https://commons.wikimedia.org/wiki/TimedText:NEW_ZEALAND_INDUSTRIES._TEA_PACKING_AND_BLENDING.webm.en.srt,,C,PUBLIC_DOMAIN,Public domain,FULL_TRANSCRIPT,1086,0,storage:MENTIONS
DOC-000416,"Coupling effect of key factors on ecosystem services in border areas: a study of the Pu'er region, Southwestern China.",Qiao R; Li J; Liu X; Li M; Lei D; Li Y; Wu K; Du P; Ye K; Hu J,2024-03-22,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10962348/fullTextXML,10.7717/peerj.17015,B,OPEN_ACCESS,cc by,FULL_TEXT,6338,0,geography:CORE | chemistry:MENTIONS | mountain_and_village:MENTIONS | production:MENTIONS | safety:MENTIONS | terroir:MENTIONS
DOC-000431,Effects of Geographical Origin and Tree Age on the Stable Isotopes and Multi-Elements of Pu-erh Tea.,Chen MM; Liao QH; Qian LL; Zou HD; Li YL; Song Y; Xia Y; Liu Y; Liu HY; Liu ZL,2024-02-02,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10855849/fullTextXML,10.3390/foods13030473,B,OPEN_ACCESS,cc by,FULL_TEXT,4321,0,geography:CORE | cultivar:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS | terroir:MENTIONS
DOC-000106,Optimizing Fermentation Conditions: Impact on Tea Flavor and Quality,Su Xu; Honglin Wang; Yichen Zhao,2024-01-01,journal_article,OpenAlex,https://hortherbpublisher.com/index.php/jtsr/article/download/3921/3000,https://doi.org/10.5376/jtsr.2024.14.0023,B,OPEN_ACCESS,cc-by,FULL_PDF,7004,13,fermentation:CORE | sensory:CORE | chemistry:SUBSTANTIVE | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS
DOC-000146,Safety Assessment and Contaminants Detection in Different types of Tea and Tea products,Aqsa Akhtar; Izma Zahir; Hafsa Naeem; Nauman Khalid,2024-01-01,journal_article,OpenAlex,https://www.jstage.jst.go.jp/article/ras/12/0/12_347/_pdf,https://doi.org/10.7831/ras.12.0_347,B,OPEN_ACCESS,unknown,FULL_PDF,19022,30,safety:CORE | sensory:SUBSTANTIVE | storage:SUBSTANTIVE | chemistry:MENTIONS | cultivar:MENTIONS | fermentation:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000418,The Characteristic Aroma Compounds of GABA Sun-Dried Green Tea and Raw Pu-Erh Tea Determined by Headspace Solid-Phase Microextraction Gas Chromatography-Mass Spectrometry and Relative Odor Activity Value.,Ma C; Gao C; Li Y; Zhou X; Fan G; Tian D; Huang Y; Zhou H,2023-12-18,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10742727/fullTextXML,10.3390/foods12244512,B,OPEN_ACCESS,cc by,FULL_TEXT,5214,0,chemistry:CORE | sensory:CORE | cultivar:MENTIONS | culture:MENTIONS | geography:MENTIONS | history:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS
