sensory_term_id,term_traditional,term_simplified,pinyin,english,category,definition,operational_note,reference_materials,similar_terms,contrast_terms,defect_flag,sources,curation_status,updated_at
SEN-000004,顯毫,显毫,xiǎn háo,visible trichomes,乾茶外形,芽葉表面茸毛在正常光線下清楚可見。,記錄光線、放大倍率及乾濕狀態；茸毛多少受嫩度、品種和加工影響。,,肥壯,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000008,鬆泡,松泡,sōng pào,loosely formed,乾茶外形,葉條或緊壓結構較疏鬆、體積感大而密實度低。,須說明評的是散茶條索還是緊壓茶結構；兩者不可混用同一尺度。,,,緊結,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000073,刺激感,刺激感,cì jī gǎn,pungency or irritation,口感,口腔或咽部出現刺、辣、灼、尖銳或不尋常麻感的總稱。,須描述部位與類型；若伴隨化學品、霉敗或強烈異味，停止品飲並檢查安全。,,酸味,軟 | 醇和,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000072,收斂性,收敛性,shōu liǎn xìng,astringent contraction,口感,茶湯引起口腔組織乾燥、收緊與表面摩擦變化的程度及時間輪廓。,這是觸覺維度；記錄強度、位置、起始與消退，不與苦味混為一項。,,澀感,滑,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000068,滑,滑,huá,smooth mouthfeel,口感,茶湯在舌面與口腔移動時摩擦感低、流動連續。,與稠度、甜味和澀感分開評分；溫度會改變滑感。,,綿 | 軟,粗澀 | 澀感,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000069,稠,稠,chóu,viscous mouthfeel,口感,茶湯在口腔中呈較高黏度、流動速度較慢或具有濃稠感。,稠度不等同濃味；須在相同溫度與茶水比下比較。,,醇厚 | 綿,水味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000070,綿,绵,mián,softly coating mouthfeel,口感,茶湯接觸感柔和、連續並帶有細緻包覆感。,屬口感聯想詞；評審組應用共同樣品校準，並與滑、稠分開。,,滑 | 軟 | 稠,刺激感,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000071,軟,软,ruǎn,soft mouthfeel,口感,茶湯刺激較低、邊緣感不尖銳，入口柔順。,軟不等於淡；須同時記錄滋味強度與結構。,,醇和 | 綿,刺激感 | 粗澀,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000016,橙紅,橙红,chéng hóng,orange-red liquor,湯色,茶湯以橙色為主並帶紅色調，介於橙黃與紅色系列之間。,只記色相，不由此單獨判定氧化、熟化或倉儲程度。,,橙黃 | 紅濃,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000015,橙黃,橙黄,chéng huáng,orange-yellow liquor,湯色,茶湯以黃色為主並帶橙色調，較金黃偏紅。,應在相同茶水比、時間和溫度下比較，否則濃度差會改變色相。,,金黃 | 橙紅,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000021,清澈,清澈,qīng chè,clear liquor,湯色,茶湯透明度較高，肉眼所見懸浮微粒或霧狀散射較少。,茶毫、碎末與冷後渾並非同一原因；須記錄過濾、溫度及靜置時間。,,湯色明亮,渾濁,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000022,渾濁,浑浊,hún zhuó,turbid liquor,湯色,茶湯因懸浮物或光散射而透明度降低，呈霧狀或不清。,先排除細末、茶毫、杯具和冷卻造成的暫時現象，再判斷是否為製程或保存缺陷。,,,清澈 | 湯色明亮,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000020,湯色明亮,汤色明亮,tāng sè míng liàng,bright liquor,湯色,茶湯具有清晰反光與較高視覺明度，不顯灰暗。,明亮與清澈相關但不相同；光源、杯壁和懸浮物要分開控制。,,清澈 | 金黃,渾濁,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000017,紅濃,红浓,hóng nóng,deep red liquor,湯色,茶湯紅色調明顯且色度較深。,須把色度與透亮度分開；深色茶湯仍可清澈，也可能因細末而混濁。,,紅褐 | 褐紅,黃綠,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000018,紅褐,红褐,hóng hè,reddish-brown liquor,湯色,茶湯兼具紅與褐色調，以紅色感較突出。,記錄為視覺描述；不可把紅褐直接寫成特定年份或倉型證據。,,褐紅 | 紅濃,黃綠,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000019,褐紅,褐红,hè hóng,brownish-red liquor,湯色,茶湯兼具褐與紅色調，以褐色感較突出。,與紅褐成對比較時，評審小組應先用色板建立共同尺度。,,紅褐,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000014,金黃,金黄,jīn huáng,golden liquor,湯色,茶湯呈明顯、飽和而明亮的金黃色調。,同時記錄明度及清澈度；沖泡濃度和杯具可顯著改變觀感。,,橙黃 | 湯色明亮,渾濁,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000013,黃綠,黄绿,huáng lǜ,yellow-green liquor,湯色,茶湯色相介於黃色與綠色，以黃中帶綠或綠中帶黃呈現。,使用白底、固定杯深與光源描述色相；不要把色相直接等同年份。,,金黃,紅褐,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000064,回味持久,回味持久,huí wèi chí jiǔ,persistent aftertaste,滋味,吞咽或吐出茶湯後，可辨識的味覺、口感或鼻後香維持較長時間。,用秒數或固定時間點記錄，並寫明留下的是甜、苦、澀、香或其他感受。,,回甘 | 香氣持久,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000062,回甘,回甘,huí gān,returning sweetness,滋味,茶湯咽下或吐出後，口腔中延後出現或增強的甜感。,記錄開始時間、位置、強度與持續時間；不要與入口甜或甜香混淆。,,甜味 | 回味持久,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000060,水味,水味,shuǐ wèi,watery character,滋味,茶湯滋味與口腔結構感薄弱，呈現近似清水、滋味分離或後段迅速空掉的感受。,先排除茶水比、沖泡時間、水質與溫度因素；不可立即歸因於茶樣。,,滋味淡薄,濃厚,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000066,滋味淡薄,滋味淡薄,zī wèi dàn bó,thin taste,滋味,在標準化沖泡下，滋味強度、層次或持續度偏低。,須先排除投茶量不足、浸泡過短、水溫低或樣品不均。,,水味,濃厚 | 醇厚,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000065,滋味純正,滋味纯正,zī wèi chún zhèng,clean characteristic taste,滋味,滋味符合該樣品的茶類與製程背景，未見明顯外來、污染或敗壞味。,純正不是『沒有苦澀』；須先界定樣品組別及可接受變異。,,醇和,酸餿氣 | 異味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000056,澀感,涩感,sè gǎn,astringency,滋味,口腔表面出現乾燥、收緊或摩擦增加的觸覺感受，不是基本味覺。,與苦味分開評分，記錄位置、強度、細緻度及持續時間。,由受訓審評小組選定的茶樣,收斂性 | 粗澀,滑,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000051,濃厚,浓厚,nóng hòu,strong and full-bodied,滋味,茶湯可感物質強度與口腔重量感均較高，滋味內容充足。,須控制茶水比和浸泡時間；過濃沖泡不能直接用來比較茶樣本身。,,濃醇 | 醇厚,滋味淡薄 | 水味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000052,濃醇,浓醇,nóng chún,strong yet mellow,滋味,滋味強度較高，同時保持柔和與協調，無明顯粗厲感。,可把『濃』和『醇』分別評分，以提高不同評審者的一致性。,,濃厚 | 醇厚,粗澀,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000058,甜味,甜味,tián wèi,sweetness,滋味,入口時可直接感知的甜基本味覺。,與回甘、甜香及熟果聯想分開；可用蔗糖參考液建立尺度。,蔗糖參考液,甜醇 | 回甘,苦味 | 酸味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000053,甜醇,甜醇,tián chún,sweet and mellow,滋味,甜味或甜感清楚，整體滋味柔和協調。,區分入口甜、回甘與香氣引起的甜聯想；三者不可互相替代。,,醇和 | 甜味 | 回甘,酸味,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000063,生津,生津,shēng jīn,salivation,滋味,品飲後唾液分泌增加或口腔由乾轉潤的感受。,記錄口腔位置與時間；受個人生理、溫度、酸度及澀感影響，不宜作產品真偽依據。,,回甘,澀感,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000067,粗澀,粗涩,cū sè,coarse astringency,滋味,澀感顆粒粗、摩擦感強或持續黏滯，並與整體滋味不協調。,須與澀感強度分開；同樣強度的澀可以細緻，也可以粗糙。,,澀感 | 收斂性,滑 | 醇和,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
