study_id,document_id,document_title,study_design,sample_description,sample_size,sample_origin,tea_material,intervention,comparator,methods,outcomes,limitations,human_applicability,bias_risk,evidence_strength,source_locator,curation_status,reviewer_kind,updated_at
STU-000011,DOC-000009,The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis,CROSS_SECTIONAL_MICROBIOME_AND_METABOLITE_SURVEY,7份鮮葉、15份生茶及16份熟茶；茶樣儲存0至28年，來自普洱市5家公司。,7份鮮葉＋31份普洱茶,雲南普洱市3個茶園及5家公司,鮮葉、生普洱、熟普洱，散茶及緊壓形態,不適用,鮮葉、生／熟茶及不同儲存年份,rDNA擴增子高通量測序 | 植物DNA條碼 | LC-MS/MS多重真菌代謝物分析,作者報告三組菌群組成與多樣性差異 | 25種目標代謝物在樣品中有不同檢出情況,橫斷面比較不能把不同年份樣品差異全部歸因於陳化 | 公司、批次、包裝及倉儲可能與年份混雜 | 早期擴增子流程及OTU分類有方法年代限制 | 摘要對『洗茶』的推論不能由代謝物檢出直接建立安全建議,不屬人體研究；安全解讀須看濃度、限值及浸出。,HIGH_CONFOUNDING_FOR_AGE,MODERATE_DESCRIPTIVE,Materials and Methods / Samples used in this study；摘要,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000012,DOC-000008,An Integrated Metagenomics/Metaproteomics Investigation of the Microbial Communities and Enzymes in Solid-state Fermentation of Pu-erh tea,METAGENOMICS_METAPROTEOMICS_STUDY,以一個固態普洱茶發酵系統分析微生物群落及實際檢出的蛋白。,3 次實驗室發酵，每 7 日採樣；第 21 日茶樣用於宏基因組與宏蛋白組分析,普洱茶固態發酵樣品,發酵中普洱茶,發酵時間序列,不同發酵階段,16S／18S焦磷酸測序 | 宏基因組 | 宏蛋白組 | 功能分類,作者報告Proteobacteria與Aspergillus在該樣品中佔主要比例 | 鑑定335個具至少兩條獨特肽段的蛋白，包含植物細胞壁降解與氧化相關酵素,單一或少數批次的相對豐度不能代表所有渥堆 | 分類解析度與舊式測序平台有限 | 蛋白註釋與工藝效果之間仍需菌株及功能實驗 | 不能由菌屬存在判定安全或品質,不屬人體研究。,MODERATE,MODERATE_MECHANISTIC,"摘要；Methods及結果表；2026-09-12 回查原文段落 CHK-006600, CHK-006604",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000013,DOC-000412,Enhanced Fermentation of Pu-Erh Tea with Aspergillus niger : Quality and Microbial Community Analysis.,CONTROLLED_FERMENTATION_COMPOSITION_STUDY,比較未發酵曬青茶、接種黑曲霉的強化發酵茶與自然發酵茶。,發酵方法記錄重複 3 次；各組樣本配置仍須對照完整圖表,從普洱茶分離黑曲霉並用於未滅菌曬青茶,曬青綠茶及其自然／接種發酵樣品,接種Aspergillus niger強化發酵,自然發酵與未發酵對照,非靶向代謝組 | 16S與ITS測序 | 感官或品質指標 | 相關與多變量分析,作者報告接種組與自然發酵組有200個差異代謝物 | 菌群及以氨基酸為主的代謝物分布隨處理不同,菌株與工藝條件特定，不能泛化所有黑曲霉或工廠 | 相關網絡不證明菌—代謝物因果 | 未滅菌基質使背景菌群仍參與 | 『提升品質』包含方法與評審主觀成分,不屬人體研究。,MODERATE,MODERATE_EXPERIMENTAL,摘要；Materials and Methods；Results 2.1–2.6；2026-09-12 回查原文段落 CHK-008684,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000014,DOC-000426,Integrated Microbiome-Metabolome Analysis and Functional Strain Validation Reveal Key Biochemical Transformations During Pu-erh Tea Pile Fermentation.,LONGITUDINAL_PILE_FERMENTATION_MULTI_OMICS,同一渥堆在15個時間點追蹤理化、成分、菌群與代謝物，並分離17株細菌及10株真菌作功能驗證。,15個發酵時間點；27個分離株，其中6株作代表性功能測試,西雙版納企業提供的雲南小褐普洱茶,熟茶渥堆樣品,自然渥堆時間序列及分離株酵素試驗,不同發酵階段與菌株,擴增子測序 | 非靶向代謝組 | 理化測定 | 菌株分離與大分子降解酵素測定,作者報告後期菌群結構較穩定及56個顯著差異代謝物 | 部分Bacillus與Aspergillus分離株顯示多醣／蛋白降解活性,單一生產系統及原料限制外推 | 菌屬—代謝物相關仍受溫濕度共同驅動 | 平板酵素活性不等同整堆中的實際貢獻 | 帶有健康意涵的脂肪酸描述不構成人體效益證據,不屬人體研究。,MODERATE,MODERATE_TO_STRONG_FOR_ONE_PROCESS,摘要；Materials and Methods / Tea Samples；各結果章節,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000015,DOC-000425,"Changes in sensory characteristics, chemical composition and microbial succession during fermentation of ancient plants Pu-erh tea.",LONGITUDINAL_INDUSTRIAL_FERMENTATION_STUDY,2022年6至7月在勐海一個傳統自然渥堆追蹤36日、4次翻堆；每次取2 kg樣品，9名受訓評審參與。,一個茶堆時間序列；9名感官評審,雲南勐海企業；原料被研究稱為百年以上古茶樹來源,曬青毛茶及36日發酵樣品,自然渥堆，約40%含水、約1 m堆高、4次翻堆,原料及各翻堆時間點,標準化感官審評與QDA | HPLC與分光法 | 代謝組 | 微生物DNA metabarcoding,作者報告感官、可溶性糖、茶褐素、代謝物與主要菌屬隨發酵改變 | 多個菌屬相對豐度與特徵成分相關,只有一個茶堆，批次重現性不足 | 『古茶樹』定義及原料追溯需獨立來源核實 | 相對豐度相關不等同功能因果 | 9人評審小組及企業環境限制普遍性,不屬人體研究。,HIGH_SINGLE_BATCH,MODERATE_DESCRIPTIVE,Materials and methods / Fermentation；Sensory evaluation,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000016,DOC-000408,Dynamic Evolution of Aroma Characteristics in Ripened Pu-Erh Tea During Industrial Fermentation: Insights from GC-MS and Flavor Wheel Analysis.,REPLICATED_INDUSTRIAL_AROMA_TIMEPOINT_STUDY,同一企業兩個獨立熟茶工業批次，取原料、中期及完成三階段，每階段3個生物重複。,18份樣品（2批×3階段×3生物重複）,雲南下關沱茶集團，2020年7至9月,15噸曬青毛茶形成的兩批熟茶渥堆,約40%含水、約1 m堆高、每7至10日翻堆，共8次,兩批及三個發酵階段,HS-SPME/GC-MS | 多變量統計 | 相對氣味活度值 | 風味輪,辨識134種揮發物及13種rOAV大於1的主要候選香氣活性物 | 作者報告青草／清新調下降，木質與薄荷調相關物質上升,兩批均來自同一企業與工法 | rOAV以閾值及濃度估算，不等同完整感官因果 | 風味輪是該研究資料的表達，不是普遍標準 | 原料、季節與工廠環境仍可能共同影響,不涉及健康效果。,MODERATE,MODERATE_TO_STRONG_FOR_AROMA_PROFILE,Materials and Methods / Industrial Fermentation；摘要,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000017,DOC-000400,"Characteristic Changes and Potential Markers of Flavour in Raw Pu-Erh Tea with Different Ageing Cycles Analysed by HPLC, HS-SPME-GC-MS, and OAV.",CROSS_SECTIONAL_STORAGE_SERIES_COMPOSITION_STUDY,同一原料來源、製造商及文山倉儲地點的1至10年生茶年份序列。,10 個年份組，每份樣本萃取及分析 3 次；獨立生產批次數待核,雲南文山，室內不高於25°C、相對濕度不高於70%的乾燥通風倉,雲南大葉種生普洱,自然儲存年份差異,1至10年橫斷面年份組,HPLC | HS-SPME-GC-MS | OAV | 感官及聚類分析,作者把年份序列分成三個化學／風味群組，並提出3年及8年附近的轉折候選 | 提出不同年份組的非揮發與揮發候選標誌物,不同年份產品不是同一批茶的縱向追蹤 | 雖控制來源與倉地，年度原料及生產差異仍可能混雜 | 轉折年只適用該序列，不能作普洱茶通則 | 候選標誌物需外部批次驗證,不涉及健康效果。,HIGH_VINTAGE_CONFOUNDING,EXPLORATORY,"Materials and Methods / Tea Samples；摘要；2026-09-12 回查原文段落 CHK-008152, CHK-008156",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000018,DOC-000402,"Quantitative descriptive analysis, non-targeted metabolomics and molecular docking reveal the dynamic aging and taste formation mechanism in raw Pu-erh tea during the storage.",CROSS_SECTIONAL_SENSORY_METABOLOMICS_STUDY,6個系列、18份生茶，分新茶、陳化中及陳年三組，儲存於昆明或廣州專門倉庫。,18份茶樣,昆明平均約15°C／60%RH；廣州平均約22°C／77%RH,生普洱茶,不同儲存時間與兩個倉儲環境,三個存期組及兩個城市環境,QDA | UHPLC-Orbitrap-MS/MS非靶向代謝組 | 多變量統計 | 分子對接,作者報告感官與代謝物可把18樣品分成三個存期組 | 分子對接只提出部分代謝物與味覺受體的可能結合,18個橫斷面樣品的年份、系列與倉地可能混雜 | 不能由模型分類斷言儲存時間比環境更重要於所有情境 | 分子對接不證明人體感官受體實際作用 | 需要感官重現與外部樣品驗證,只涉及感官，不是健康證據。,HIGH_CONFOUNDING,EXPLORATORY,Materials and methods / Materials and reagents；摘要,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000019,DOC-000403,"Decoding long-term aging of ripened Pu-erh tea: sensory equilibrium, metabolic pathways, and chemical markers.",CROSS_SECTIONAL_STORAGE_METABOLOMICS_STUDY,比較2年至40年以上不同存期熟普洱，以感官、電子舌及非靶向代謝組描繪變化。,23 份熟茶樣本，涵蓋 9 個貯存階段,多個商業品牌的配方熟茶；逐批收樣來源及保管鏈仍待核,熟普洱茶,自然儲存年份差異,多個存期組,QDA | 電子舌 | 非靶向代謝組 | KEGG富集與相關分析,作者報告感官與代謝物呈上升—下降—穩定的橫斷面模式 | 提出14個與存期相關的候選代謝物,不是同一批茶的40年縱向追蹤 | 超長年份的真實年份、來源與保存紀錄須獨立核實 | 作者提出15年『平衡』只適用該樣本系列 | 相關與通路富集不證明因果或年份鑑定效度,只涉及感官與成分。,HIGH_PROVENANCE_AND_VINTAGE_CONFOUNDING,EXPLORATORY,"摘要；Materials and Methods及樣品表；2026-09-12 回查原文段落 CHK-008268, CHK-008269",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000020,DOC-000404,Metabolomic and Sensory Insights into the Aging Mechanism of Ripened Pu-Erh Tea over Nine Years.,SINGLE_PRODUCT_STORAGE_GRADIENT_STUDY,同一代表性商業熟茶產品的1、3、5、7、9年存期梯度。,5 個年份組，每組 3 餅，共 15 餅，逐餅作化學及感官分析,單一標準化商業產品,熟普洱茶,1至9年儲存差異,五個年份組,QDA與色度 | 42種非揮發物靶向測定 | HS-GC-MS揮發組 | 多變量模型,作者報告香氣與滋味隨年份組有系統差異 | 提出與甜醇感相關的候選化學變化,單一產品不能代表其他原料、工廠或倉儲 | 年份組是否同批縱向樣品須查來源記錄 | 感官與化學相關不等同單一物質造成感受 | 候選標誌需外部產品驗證,只涉及感官與成分。,HIGH_SINGLE_PRODUCT,EXPLORATORY_TO_MODERATE,"摘要；Results 2.1；樣品方法；2026-09-12 回查原文段落 CHK-008340, CHK-008342",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000021,DOC-000405,Characterization of Volatile Substances in Pu-erh Tea (Raw Tea) at Different Storage Times.,CROSS_SECTIONAL_STORAGE_VOLATILOMICS_STUDY,同一企業、原料與工藝、標稱在相同條件儲存7至21年的14個生茶樣品；5名受訓評審。,14份茶樣；5名評審，每樣3次,雲南，20至30°C、40至50%RH、乾燥通風無異味環境,生普洱茶,不同儲存時間,7至21年年份組,GB/T 23776導向感官審評 | HS-SPME/GC×GC-Q-TOF-MS | 揮發物定性定量,作者報告香氣由果／花調向煙與陳香描述轉變 | 辨識290種揮發物並提出各香型候選關鍵物,橫斷面年份樣品仍受年度原料差異影響 | 5名評審且來自同一機構 | 標稱相同倉儲需完整記錄支持 | 化合物鑑定及香氣貢獻需標準品、閾值與重組試驗驗證,只涉及感官。,MODERATE_TO_HIGH,EXPLORATORY,Materials and Methods / Materials；Sensory Evaluation；摘要,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000022,DOC-000420,Characterization of primary aroma compounds in Pu-erh raw tea sourced from various regions using gas chromatography-mass spectrometry and headspace solid-phase microextraction.,GEOGRAPHIC_COMPOSITION_COMPARISON,比較雲南5個來源區域的生普洱揮發性成分。,方法報告分析重複 n=3；獨立茶樣總數與各產區批次數仍待核,雲南5個區域,生普洱茶,不適用,五個來源區域,HS-SPME-GC-MS | 對映體分析 | OPLS-DA | ANOVA與KEGG通路註釋,作者報告69種香氣活性相關化合物及區域間差異 | 模型在該資料集可區分樣品組，提出33個差異候選物,來源區域可能與品種、採期、加工和企業混雜 | Q²及內部模型表現不能取代獨立盲樣驗證 | 化合物差異不能直接證明地理真偽,不涉及健康效果。,HIGH_GEOGRAPHY_CONFOUNDING,EXPLORATORY_AUTHENTICATION,"摘要；Materials and Methods；樣品表；2026-09-12 回查原文段落 CHK-008954, CHK-008960",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000023,DOC-000461,Analysis of Volatile Profile and Aromatic Characteristics of Raw Pu-erh Tea during Storage Based on GC-MS and Odor Activity Value.,CROSS_SECTIONAL_STORAGE_AROMA_STUDY,比較0至10年生普洱樣品的揮發物與香氣活性估算。,11 個年份組（0–10 年）；實驗報告 n=3，獨立生產批次數待核,作者記錄為大益 7542 系列，原料來自西雙版納，成品存於廣東,生普洱茶,儲存時間差異,多個年份組,HS-SPME-GC-MS | OAV與ACI | ANOVA、PCA、HCA及熱圖,作者報告130種揮發物及64種共同化合物 | 提出3至4年與10年附近的香氣轉折候選及5種主要貢獻候選物,橫斷面樣品不能把所有差異歸因時間 | 轉折年不能外推其他倉儲與原料 | OAV與ACI依賴閾值及模型假設,只涉及感官。,HIGH_VINTAGE_CONFOUNDING,EXPLORATORY,"摘要；Introduction末段；Methods；2026-09-12 回查原文段落 CHK-010429, CHK-010436",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000024,DOC-000472,Simultaneous Distillation Extraction of Some Volatile Flavor Components from Pu-erh Tea Samples-Comparison with Steam Distillation-Liquid/Liquid Extraction and Soxhlet Extraction.,ANALYTICAL_METHOD_COMPARISON,建立同步蒸餾萃取結合GC的方法，並與水蒸氣蒸餾—液液萃取及索氏萃取比較。,10 份茶樣：熟普洱 4、生普洱 4，另有綠茶及紅茶各 1,市售樣品,生普洱與熟普洱,三種揮發物萃取方法,方法回收率、重複性及樣品結果,SDE-GC | GC-MS確認 | 加標回收與RSD | 方法間比較,作者報告10種化合物的定量方法性能 | 該樣本中部分高揮發物與甲氧基苯類在生、熟茶間有差異,方法與儀器年代較早 | 樣品數及品牌代表性須核對 | 萃取效率受化合物極性與熱穩定性影響 | 不能以少數揮發物判定所有生熟茶,不涉及健康效果。,MODERATE,MODERATE_FOR_METHOD,摘要；Methods；2026-09-12 回查原文段落 CHK-010806,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000025,DOC-000017,The Study of Fingerprint Characteristics of Dayi Pu-Erh Tea Using a Fully Automatic HS-SPME/GC–MS and Combined Chemometrics Method,CHEMICAL_FINGERPRINT_METHOD_STUDY,7個大益普洱品牌樣品與3個雅安茶樣作揮發性化學指紋比較。,10份品牌樣品,市售大益與雅安茶樣,普洱茶與比較茶,不適用,品牌與茶類組,全自動HS-SPME/GC-MS | 重疊峰比率 | 相關係數相似度 | PCA,在7份大益樣品中辨識75種揮發物 | 作者報告同組指紋相似度較高，與3份雅安樣品有差異,每品牌可能只有一份樣品，無法估計批內變異 | 品牌與產品年份、配方、儲存可能混雜 | PCA及相似度不是法定真偽鑑定 | 模型需要獨立盲樣與跨儀器驗證,不涉及健康效果。,HIGH_SMALL_SAMPLE,EXPLORATORY,摘要；Methods,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
