person_id,display_name,primary_institution,relevant_work_count,identity_notes,identifiers,official_page,conflict_notes,reviewed_at
PER-004158,Chen Wang,Kunming University of Science and Technology,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 60%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100337671"", ""orcid"": ""https://orcid.org/0000-0003-2723-5507""}",https://orcid.org/0000-0003-2723-5507,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001402,Chengqin Zheng,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5025859559"", ""orcid"": null}",https://openalex.org/A5025859559,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004141,Chenyang Ma,Yunnan Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5036361096"", ""orcid"": ""https://orcid.org/0000-0003-0498-9592""}",https://orcid.org/0000-0003-0498-9592,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004423,Chuang Yu,Shanghai Institute of Technology,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5101686365"", ""orcid"": ""https://orcid.org/0009-0006-2688-8417""}",https://orcid.org/0009-0006-2688-8417,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004095,Chun Qu,Shanghai Sixth People's Hospital,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 68%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5037831433"", ""orcid"": ""https://orcid.org/0000-0003-3657-2978""}",https://orcid.org/0000-0003-3657-2978,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000381,Chunxiu Peng,Yunnan Agricultural University,12,主要機構只按本庫中 12 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5016914799"", ""orcid"": null}",https://openalex.org/A5016914799,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004413,Chunyan Zhao,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5030801252"", ""orcid"": ""https://orcid.org/0000-0002-4905-0952""}",https://orcid.org/0000-0002-4905-0952,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004103,Chuyi He,Hunan Agricultural University,4,主要機構只按本庫中 4 篇普洱茶相關作品的作者機構統計推定（加權占比 75%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5113424587"", ""orcid"": null}",https://openalex.org/A5113424587,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001890,Dabing Ren,Kunming University of Science and Technology,5,主要機構只按本庫中 5 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5065582838"", ""orcid"": ""https://orcid.org/0000-0002-5507-7852""}",https://orcid.org/0000-0002-5507-7852,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004259,Dalong Liao,Sichuan University of Science and Engineering,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5072612992"", ""orcid"": null}",https://openalex.org/A5072612992,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004137,Dexian Jia,Beijing University of Chinese Medicine,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5016878140"", ""orcid"": null}",https://openalex.org/A5016878140,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004041,Dihan Yang,Yunnan Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 75%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5114161017"", ""orcid"": null}",https://openalex.org/A5114161017,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000718,Donglian Zhang,Yunnan Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5086728197"", ""orcid"": null}",https://openalex.org/A5086728197,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000582,Ewelina Jamróz,University of Agriculture in Krakow,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 64%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5017562960"", ""orcid"": ""https://orcid.org/0000-0002-1134-6213""}",https://orcid.org/0000-0002-1134-6213,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000001,Fengjie Huang,Shanghai Jiao Tong University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 50%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100745914"", ""orcid"": ""https://orcid.org/0000-0001-7844-948X""}",https://orcid.org/0000-0001-7844-948X,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004328,Fu Xu,Northeast Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5016912840"", ""orcid"": null}",https://openalex.org/A5016912840,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001472,Gen Sha,Yunnan Agricultural University,5,主要機構只按本庫中 5 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5111048718"", ""orcid"": null}",https://openalex.org/A5111048718,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001741,Gongming Li,Wuhan Donghu University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5049796873"", ""orcid"": ""https://orcid.org/0009-0006-9103-8195""}",https://orcid.org/0009-0006-9103-8195,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004065,Guanghong Pan,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 67%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5102333533"", ""orcid"": null}",https://openalex.org/A5102333533,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004099,Guangmei Zhu,Hunan Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5111142694"", ""orcid"": null}",https://openalex.org/A5111142694,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001814,Guofang Pang,Chinese Academy of Inspection and Quarantine,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5109691744"", ""orcid"": null}",https://openalex.org/A5109691744,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004206,Hai-Dan Zou,Chinese Academy of Agricultural Sciences,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 60%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5108965420"", ""orcid"": null}",https://openalex.org/A5108965420,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001488,Haishuang Yu,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 50%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100994703"", ""orcid"": null}",https://openalex.org/A5100994703,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001535,Hang Zhao,Jilin University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100418984"", ""orcid"": ""https://orcid.org/0000-0002-5600-6167""}",https://orcid.org/0000-0002-5600-6167,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004100,He Xie,Hunan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100714226"", ""orcid"": ""https://orcid.org/0000-0002-4123-7683""}",https://orcid.org/0000-0002-4123-7683,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004322,Heyuan Jiang,Sichuan Academy of Agricultural Sciences,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 57%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5008379142"", ""orcid"": ""https://orcid.org/0000-0002-3101-7951""}",https://orcid.org/0000-0002-3101-7951,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004252,Hiroko Tsutsui,Hyogo Medical University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5005867340"", ""orcid"": ""https://orcid.org/0000-0001-7928-4875""}",https://orcid.org/0000-0001-7928-4875,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004211,Hong-Yan Liu,Chinese Academy of Agricultural Sciences,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 67%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5001426815"", ""orcid"": ""https://orcid.org/0000-0001-7392-2100""}",https://orcid.org/0000-0001-7392-2100,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000922,Hongjie Zhou,Yunnan Agricultural University,10,主要機構只按本庫中 10 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100826534"", ""orcid"": ""https://orcid.org/0000-0003-1523-7812""}",https://orcid.org/0000-0003-1523-7812,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004037,Hongxu Li,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5031522364"", ""orcid"": ""https://orcid.org/0009-0004-4744-2719""}",https://orcid.org/0009-0004-4744-2719,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004061,Hongyan Gao,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 67%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5128522909"", ""orcid"": null}",https://openalex.org/A5128522909,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001738,Houqiao Wang,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 67%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5044850561"", ""orcid"": null}",https://openalex.org/A5044850561,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004422,Huatian Wang,Shanghai Institute of Technology,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5061507710"", ""orcid"": ""https://orcid.org/0000-0003-3589-9880""}",https://orcid.org/0000-0003-3589-9880,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004265,Hui Zhu,Sichuan University of Science and Engineering,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5088037729"", ""orcid"": ""https://orcid.org/0000-0002-8967-3177""}",https://orcid.org/0000-0002-8967-3177,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004089,Jiacai Wang,Yunnan Agricultural University,6,主要機構只按本庫中 6 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5104027646"", ""orcid"": null}",https://openalex.org/A5104027646,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001754,Jiahua Li,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5028366890"", ""orcid"": ""https://orcid.org/0009-0006-4915-9153""}",https://orcid.org/0009-0006-4915-9153,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001417,Jiangsheng Zhou,Kunming University of Science and Technology,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5101475030"", ""orcid"": ""https://orcid.org/0000-0002-8822-4580""}",https://orcid.org/0000-0002-8822-4580,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000119,Jian‐Lin Wu,Macau University of Science and Technology,5,主要機構只按本庫中 5 篇普洱茶相關作品的作者機構統計推定（加權占比 85%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5073800642"", ""orcid"": ""https://orcid.org/0000-0002-3875-185X""}",https://orcid.org/0000-0002-3875-185X,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000382,Jiashun Gong,Yunnan Agricultural University,8,主要機構只按本庫中 8 篇普洱茶相關作品的作者機構統計推定（加權占比 87%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5070220603"", ""orcid"": ""https://orcid.org/0000-0003-0920-0466""}",https://orcid.org/0000-0003-0920-0466,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004303,Jicheng Liu,Qiqihar Medical University,4,主要機構只按本庫中 4 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5101667921"", ""orcid"": ""https://orcid.org/0000-0002-2200-0701""}",https://orcid.org/0000-0002-2200-0701,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004395,Jielin Jiang,Southwest University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 50%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5009585171"", ""orcid"": ""https://orcid.org/0000-0002-7191-8674""}",https://orcid.org/0000-0002-7191-8674,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000887,Jingming Ning,Anhui Agricultural University,4,主要機構只按本庫中 4 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5048649504"", ""orcid"": ""https://orcid.org/0000-0003-1305-3796""}",https://orcid.org/0000-0003-1305-3796,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004443,Joanna Tkaczewska,University of Agriculture in Krakow,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5001731649"", ""orcid"": ""https://orcid.org/0000-0003-1131-9386""}",https://orcid.org/0000-0003-1131-9386,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000112,Juan Li,Hunan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5019365586"", ""orcid"": ""https://orcid.org/0000-0002-1246-9610""}",https://orcid.org/0000-0002-1246-9610,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004035,Junjie He,Yunnan Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5005772843"", ""orcid"": ""https://orcid.org/0000-0001-7164-8216""}",https://orcid.org/0000-0001-7164-8216,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-003838,Jun‐Feng Yin,Chinese Academy of Agricultural Sciences,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 50%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5005441350"", ""orcid"": ""https://orcid.org/0000-0002-2088-5366""}",https://orcid.org/0000-0002-2088-5366,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
