place_id,standard_name,traditional_name,simplified_name,pinyin,place_kind,admin_level,parent_place_id,latitude,longitude,altitude_min,altitude_max,precision,summary,ecology,communities,heritage_role,dispute_notes,sources
PLC-000011,瀾滄拉祜族自治縣,瀾滄拉祜族自治縣,澜沧拉祜族自治县,Lancang Lahuzu Zizhixian,行政區／世界遺產所在地,自治縣,PLC-000008,22.6720893,99.9742497,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,景邁山古茶林文化景觀所在縣。行政轄區資訊用於建立地理層級，不等於個別茶園產地證明。,山地聚落、森林與茶林構成相互關聯的文化景觀。,拉祜族 | 布朗族 | 傣族等,世界遺產所在地縣級行政區。,,"[{""label"": ""UNESCO 景邁山世界遺產頁"", ""url"": ""https://whc.unesco.org/en/list/1665""}]"
PLC-000012,惠民鎮,惠民鎮,惠民镇,Huimin Zhen,鄉鎮／遺產管理地域,鎮,PLC-000011,22.2622,100.079,,,OSM 行政區 relation 標籤點；非鎮域幾何中心或茶園位置,景邁山古茶林文化景觀的五片古茶林、九個傳統村寨及三片分隔防護林位於此一地理脈絡。,聚落通常位於古茶林與保護森林之間，體現居住、生產與保護空間的配置。,布朗族 | 傣族,遺產構成要素所在鄉鎮。,,"[{""label"": ""UNESCO 提名及評估文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000013,白象山,白象山,白象山,Baixiang Shan,山體分區,遺產地山體分區,PLC-000002,,,,,UNESCO 文件所述分區；無網站自定座標,景邁山文化景觀內承載芒埂—勐本及景邁大寨—大平掌古茶林的山體分區。,古茶林與村寨、分隔防護林共同理解，不以單一海拔或土壤值概括。,傣族,兩片古茶林所在分區。,,"[{""label"": ""UNESCO 提名及 ICOMOS 評估文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000014,糯崗山,糯崗山,糯岗山,Nuogang Shan,山體分區,遺產地山體分區,PLC-000002,,,,,UNESCO 文件所述分區；無網站自定座標,景邁山文化景觀內糯崗古茶林及糯崗老寨所在的山體分區。,屬森林、古茶林與聚落相連的文化景觀。,傣族,糯崗古茶林與傳統村寨所在分區。,,"[{""label"": ""UNESCO 提名及 ICOMOS 評估文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000015,芒景山（岩冷山）,芒景山（岩冷山）,芒景山（岩冷山）,Mangjing Shan (Yanleng Shan),山體分區,遺產地山體分區,PLC-000002,,,,,UNESCO 文件所述分區；無網站自定座標,景邁山文化景觀內兩片布朗族古茶林及多個傳統村寨所在的山體分區。,森林下種茶與社群治理相連，是遺產價值的重要部分。,布朗族,芒景及翁基—翁洼古茶林所在分區。,,"[{""label"": ""UNESCO 提名及 ICOMOS 評估文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000016,芒埂—勐本古茶林,芒埂—勐本古茶林,芒埂—勐本古茶林,Manggeng–Mengben Old Tea Forest,古茶林,古茶林群,PLC-000013,22.2059116,100.0508906,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產五片古茶林之一，名稱對應芒埂與勐本村寨。,以森林下茶樹栽培系統理解，精確邊界應查 UNESCO 地圖。,傣族,五片古茶林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000017,景邁大寨—大平掌古茶林,景邁大寨—大平掌古茶林,景迈大寨—大平掌古茶林,Jingmai Dazhai–Dapingzhang Old Tea Forest,古茶林,古茶林群,PLC-000013,22.2064852,100.0314841,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產五片古茶林之一，與景邁大寨的生活及生產空間相連。,茶樹在森林冠層下栽培，茶林結構須連同伴生植物與管理方式理解。,傣族,五片古茶林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000018,糯崗古茶林,糯崗古茶林,糯岗古茶林,Nuogang Old Tea Forest,古茶林,古茶林群,PLC-000014,22.2175973,100.0042208,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產五片古茶林之一，與糯崗老寨相連。,受社群習慣規範與保護措施共同管理。,傣族,五片古茶林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000019,芒景上寨—芒景下寨—芒洪古茶林,芒景上寨—芒景下寨—芒洪古茶林,芒景上寨—芒景下寨—芒洪古茶林,Mangjing Shangzhai–Xiazhai–Manghong Old Tea Forest,古茶林,古茶林群,PLC-000015,22.1594369,100.0016514,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產五片古茶林之一，連結芒景上寨、下寨與芒洪。,森林下種茶及傳統知識的延續須與社群共同理解。,布朗族,五片古茶林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000020,翁基—翁洼古茶林,翁基—翁洼古茶林,翁基—翁洼古茶林,Wengji–Wengwa Old Tea Forest,古茶林,古茶林群,PLC-000015,22.177207,99.9925316,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產五片古茶林之一，與翁基、翁洼兩個布朗族村寨相連。,古茶林及防護林共同維持景觀的生態與文化關係。,布朗族,五片古茶林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000021,景邁大寨,景邁大寨,景迈大寨,Jingmai Dazhai,傳統村寨,傳統村寨,PLC-000012,,,,,遺產構成要素；無網站自定座標,世界遺產九個傳統村寨之一。,村寨與古茶林、保護森林構成相連的土地利用系統。,傣族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000022,勐本,勐本,勐本,Mengben,傳統村寨,傳統村寨,PLC-000012,22.20354,100.0485635,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與芒埂—勐本古茶林相連。,傣族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000023,芒埂,芒埂,芒埂,Manggeng,傳統村寨,傳統村寨,PLC-000012,22.202452,100.0535391,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與芒埂—勐本古茶林相連。,傣族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000024,糯崗老寨,糯崗老寨,糯岗老寨,Nuogang Laozhai,傳統村寨,傳統村寨,PLC-000012,22.2166836,99.9998707,,,OSM 糯崗聚落標籤點；作糯崗老寨參考，不代表村域或茶園邊界,世界遺產九個傳統村寨之一。,村寨與糯崗古茶林相連。,傣族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000025,芒景上寨,芒景上寨,芒景上寨,Mangjing Shangzhai,傳統村寨,傳統村寨,PLC-000012,22.1665462,100.0129706,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與芒景古茶林相連。,布朗族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000026,芒景下寨,芒景下寨,芒景下寨,Mangjing Xiazhai,傳統村寨,傳統村寨,PLC-000012,22.1593623,100.0164521,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與芒景古茶林相連。,布朗族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000027,芒洪,芒洪,芒洪,Manghong,傳統村寨,傳統村寨,PLC-000012,22.1462407,100.0141668,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與芒景古茶林相連。,布朗族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000028,翁基,翁基,翁基,Wengji,傳統村寨,傳統村寨,PLC-000012,22.1736769,99.99894,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與翁基—翁洼古茶林相連。,布朗族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000029,翁洼,翁洼,翁洼,Wengwa,傳統村寨,傳統村寨,PLC-000012,22.179805,99.9910569,,,OSM 公開聚落標籤點；非村域邊界或茶園位置,世界遺產九個傳統村寨之一。,村寨與翁基—翁洼古茶林相連。,布朗族,九個傳統村寨之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000030,景邁—糯崗分隔防護林,景邁—糯崗分隔防護林,景迈—糯岗分隔防护林,Jingmai–Nuogang Protective Forest,分隔防護林,分隔防護林,PLC-000002,22.2197477,100.0147891,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產三片分隔防護林之一。,在古茶林與其他土地利用之間發揮景觀分隔及保護作用。,布朗族 | 傣族,三片分隔防護林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000031,糯崗—芒景分隔防護林,糯崗—芒景分隔防護林,糯岗—芒景分隔防护林,Nuogang–Mangjing Protective Forest,分隔防護林,分隔防護林,PLC-000002,,,,,遺產構成要素；無網站自定座標,世界遺產三片分隔防護林之一。,在古茶林與其他土地利用之間發揮景觀分隔及保護作用。,布朗族 | 傣族,三片分隔防護林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000032,景邁—芒景分隔防護林,景邁—芒景分隔防護林,景迈—芒景分隔防护林,Jingmai–Mangjing Protective Forest,分隔防護林,分隔防護林,PLC-000002,22.1849512,100.0157759,,,OSM 已命名遺產構成要素 relation 代表點；實際範圍以 UNESCO 提名圖為準,世界遺產三片分隔防護林之一。,在古茶林與其他土地利用之間發揮景觀分隔及保護作用。,布朗族 | 傣族,三片分隔防護林之一。,,"[{""label"": ""UNESCO 提名文件"", ""url"": ""https://whc.unesco.org/en/list/1665/documents/""}]"
PLC-000033,臨滄市,臨滄市,临沧市,Lincang Shi,行政區／主要產茶區,地級市,PLC-000003,23.88848,100.0879344,,,OSM 行政區 relation 標籤點；非市域幾何中心或茶園位置,雲南主要茶葉產區之一；本庫把市、縣、鄉鎮及村寨分層記錄，不以『臨滄味』概括全域。,橫跨瀾滄江河谷與多個山地帶；具體生態須降至採樣點及時間。,佤族 | 傣族 | 拉祜族 | 布朗族等,勐庫古茶園、白鶯山等古茶資源所在地。,市域茶產區高度多樣，冰島、昔歸、白鶯山等名稱不可互相替代。,"[{""label"": ""臨滄市茶旅融合布局"", ""url"": ""https://lincang.gov.cn/artview/11/228949.html""}, {""label"": ""雲南省茶產業布局"", ""url"": ""https://nync.yn.gov.cn/html/2021/guihuaxinxi_1112/381334.html""}]"
PLC-000034,雙江拉祜族佤族布朗族傣族自治縣,雙江拉祜族佤族布朗族傣族自治縣,双江拉祜族佤族布朗族傣族自治县,Shuangjiang Lahuzu Wazu Bulangzu Daizu Zizhixian,行政區／古茶園區域,自治縣,PLC-000033,23.4785482,99.8973504,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,勐庫大葉種及勐庫古茶園的重要縣域；冰島村位於其勐庫鎮。,縣域跨河谷、坡地與高山，不能只用單一海拔或氣候值描述。,拉祜族 | 佤族 | 布朗族 | 傣族,雙江勐庫古茶園與茶文化系統所在縣。,縣名、勐庫產區、冰島行政村與商品『冰島』聲稱是不同尺度。,"[{""label"": ""雲南省林草局古茶走廊資料"", ""url"": ""https://lcj.yn.gov.cn/html/2023/jianyitianbanli_0525/68936.html""}, {""label"": ""臨滄市勐庫資料"", ""url"": ""https://lincang.gov.cn/zfxxgk_lcs_gaj/artview/933/280658.html?chapter=null&ml=null&year=null""}]"
PLC-000035,勐庫鎮,勐庫鎮,勐库镇,Mengku Zhen,鄉鎮／茶產區,鎮,PLC-000034,23.6202,99.8815,,,OSM 公開鎮級標籤點；非鎮域邊界或茶園位置,雙江縣重要產茶鄉鎮，冰島村位於其轄區；也是勐庫大葉種名稱的重要地理語境。,鎮域內山體、坡向、海拔及管理差異顯著。,拉祜族 | 佤族 | 布朗族 | 傣族等,勐庫古茶園與茶文化系統核心地域。,『勐庫茶』可指行政產地、地方群體或市場分類，引用時須說明。,"[{""label"": ""臨滄市政府：勐庫鎮與古茶樹保護"", ""url"": ""https://lincang.gov.cn/zfxxgk_lcs_gaj/artview/933/280658.html?chapter=null&ml=null&year=null""}]"
PLC-000036,冰島村,冰島村,冰岛村,Bingdao Cun,村寨／高風險商業產區名,行政村,PLC-000035,,,,,行政村；不公開推定茶園或古樹點位,臨滄市官方資料確認位於雙江縣勐庫鎮；本頁主要處理名稱與尺度，不作價格或風味排名。,官方旅遊資料概述山地、湖泊及古茶資源；茶園尺度數值仍須專項調查。,,勐庫古茶文化及茶旅線路上的地點。,冰島村、冰島老寨及市場『冰島五寨』並非同一行政或證明尺度；商品聲稱須另有追溯。,"[{""label"": ""臨滄市政府：冰島景區"", ""url"": ""https://lincang.gov.cn/artview/14/231054.html""}]"
PLC-000037,臨翔區,臨翔區,临翔区,Linxiang Qu,行政區／茶產區,市轄區,PLC-000033,23.8968236,100.0819288,,,OSM 行政區 relation 標籤點；非區域幾何中心或茶園位置,臨滄市政府所在地及昔歸茶村所屬縣級行政區。,包含城市、河谷及山地，需按鄉村尺度細分。,,臨滄茶旅規劃涉及的地域。,區級資料不能直接證明昔歸或其他村寨商品產地。,"[{""label"": ""臨滄市茶旅融合布局"", ""url"": ""https://lincang.gov.cn/artview/11/228949.html""}]"
PLC-000038,邦東鄉,邦東鄉,邦东乡,Bangdong Xiang,鄉鎮／茶產區,鄉,PLC-000037,23.9230864,100.3463938,,,OSM 公開鄉級標籤點；非鄉域邊界或茶園位置,昔歸村所屬鄉級地域；用作建立可追溯的行政路徑。,鄰近瀾滄江的山地與河谷條件須按具體村寨及茶園測量。,,,邦東與昔歸是上、下級地理語境，不應作同義詞。,"[{""label"": ""臨滄市茶村規劃資料"", ""url"": ""https://lincang.gov.cn/zfxxgk_lcs_zfcxjsj/artview/933/283393.html""}]"
PLC-000039,昔歸村,昔歸村,昔归村,Xigui Cun,村寨／高風險商業產區名,村寨,PLC-000038,,,,,村寨；無網站自定茶園邊界,臨滄官方茶旅與村莊規劃反覆列入的茶村；本庫只採可核地理層級與官方記錄。,官方概述河谷山地環境；具體數值與樹齡仍待獨立調查。,,昔歸—冰島茶文化旅線上的地點。,商品『昔歸』需有村寨及批次追溯，不能僅以包裝或風味證明。,"[{""label"": ""臨滄市茶旅融合布局"", ""url"": ""https://lincang.gov.cn/artview/11/228949.html""}, {""label"": ""臨滄市茶村規劃"", ""url"": ""https://lincang.gov.cn/zfxxgk_lcs_zfcxjsj/artview/933/283393.html""}]"
PLC-000040,雲縣,雲縣,云县,Yun Xian,行政區／古茶資源區,縣,PLC-000033,24.3526033,100.2996622,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,白鶯山古茶園所在縣，列入臨滄古茶走廊及茶旅規劃。,縣域尺度差異大，需分到村寨及樣地。,,白鶯山古茶資源所在地。,縣域資料不可替代白鶯山古茶園的具體邊界。,"[{""label"": ""雲南省林草局答覆"", ""url"": ""https://lcj.yn.gov.cn/html/2023/jianyitianbanli_0525/68936.html""}]"
PLC-000041,白鶯山,白鶯山,白莺山,Baiying Shan,古茶園／茶山,山地古茶園區,PLC-000040,,,,,山地區域；未以單點代表整片古茶園,雲南省林草部門列為重要古茶資源與規劃保護對象；本庫不採未經名錄核對的個別樹齡宣傳。,官方資料強調古茶資源類型與山地環境；樣地數據待專項研究。,,臨滄古茶走廊涉及的地點。,古茶樹數量、類型及樹齡說法須以正式調查名錄為準。,"[{""label"": ""雲南省林草局：白鶯山古茶園保護答覆"", ""url"": ""https://lcj.yn.gov.cn/html/2023/jianyitianbanli_0525/68936.html""}]"
PLC-000042,鳳慶縣,鳳慶縣,凤庆县,Fengqing Xian,行政區／主要茶區,縣,PLC-000033,24.5972728,99.9085952,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,雲南重點茶葉加工與茶文化區，適合比較普洱茶原料流動與滇紅製程分流。,山地海拔與管理條件多樣。,,臨滄茶馬文化與茶旅規劃涉及的地域。,鳳慶以滇紅著名，但縣域內原料可進入不同茶類；茶類與產地不可混為一項。,"[{""label"": ""雲南省茶產業布局"", ""url"": ""https://nync.yn.gov.cn/html/2021/guihuaxinxi_1112/381334.html""}, {""label"": ""臨滄市茶旅融合布局"", ""url"": ""https://lincang.gov.cn/artview/11/228949.html""}]"
PLC-000043,永德縣,永德縣,永德县,Yongde Xian,行政區／茶產區,縣,PLC-000033,24.07721,99.4224286,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,列入雲南茶葉加工園區與臨滄現代熟茶產業規劃的縣域。,縣域自然條件需細分至具體鄉村及茶園。,,,加工園區定位不代表縣內所有原料或產品採相同工藝。,"[{""label"": ""雲南省茶產業十四五規劃"", ""url"": ""https://nync.yn.gov.cn/html/2021/guihuaxinxi_1112/381334.html""}, {""label"": ""臨滄市茶旅融合布局"", ""url"": ""https://lincang.gov.cn/artview/11/228949.html""}]"
PLC-000044,勐海縣,勐海縣,勐海县,Menghai Xian,行政區／研究與加工中心,縣,PLC-000004,21.9598828,100.4511886,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,西雙版納主要茶產區及加工地區，布朗山、賀開、南糯山與勐宋等地理名稱須再分層。,跨山地與盆地，多種茶園管理方式並存。,傣族 | 哈尼族 | 布朗族等,古茶山與多民族茶文化區域。,縣域包含多個茶山、鄉鎮與加工地區；『勐海味』不是可直接測量的全縣屬性。,"[{""label"": ""雲南省茶產業布局"", ""url"": ""https://nync.yn.gov.cn/html/2021/guihuaxinxi_1112/381334.html""}, {""label"": ""雲南省農業農村廳茶區資料"", ""url"": ""https://nync.yn.gov.cn/html/2021/yunnongkuanxun-new_0420/377927.html""}]"
PLC-000045,勐臘縣,勐臘縣,勐腊县,Mengla Xian,行政區／古茶山區域,縣,PLC-000004,21.6551382,101.4786177,,,OSM 行政區 relation 標籤點；非縣域幾何中心或茶園位置,易武鎮與象明彝族鄉所在縣，是研究古六大茶山、茶號與跨境流通的重要地域。,熱帶季風山地條件並不均一。,傣族 | 瑤族 | 彝族等,易武古鎮及古茶山文化所在地。,易武、象明及古六大茶山名稱具有不同歷史與行政邊界。,"[{""label"": ""雲南省民政廳：易武地名文化"", ""url"": ""https://ynmz.yn.gov.cn/index.php/cms/dimingfengcai/10083.html""}, {""label"": ""雲南省村莊布局資料"", ""url"": ""https://dnr.yn.gov.cn/uploadfile/s58/2024/1107/20241107030635303.pdf""}]"
PLC-000046,易武鎮,易武鎮,易武镇,Yiwu Zhen,鄉鎮／歷史茶業地點,鎮,PLC-000045,21.9811738,101.4693972,,,OSM 公開鎮級標籤點；非鎮域或茶區邊界,雲南官方地名資料記錄其清代茶業、商路與文物線索；是茶號與跨境流通研究的重要入口。,鎮域包含多個村寨與山地，不以單一風味描述。,傣族 | 瑤族等,茶馬交通與茶葉集散史上的地點。,行政鎮、古鎮、易武茶區與商品名的範圍並不完全重合。,"[{""label"": ""雲南省民政廳：易武"", ""url"": ""https://ynmz.yn.gov.cn/index.php/cms/dimingfengcai/10083.html""}]"
PLC-000047,易武茶區,易武茶區,易武茶区,Yiwu Tea Area,歷史茶區／高風險商業產區名,歷史／產業茶區,PLC-000046,,,,,文化與產業用區名；非單一法定邊界,圍繞易武鎮形成的歷史與產業茶區概念；本庫把它與行政鎮及個別村寨分開。,不同村寨、坡向及管理條件不能由一個區名概括。,,研究古六大茶山與茶馬交通的重要地域。,須說明所採易武範圍、村寨清單與年代；不可由商品名推定行政產地。,"[{""label"": ""雲南省民政廳：易武地名文化"", ""url"": ""https://ynmz.yn.gov.cn/index.php/cms/dimingfengcai/10083.html""}]"
