evidence_id,place_id,field_name,value_json,source_id,source_name,source_url,document_id,document_title,locator,evidence_level,retrieved_at,notes
PEV-EEBCA1D91DF7FC75A8D5,PLC-000001,standard_name,"""布朗山""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628440&format=jsonv2,,,OpenStreetMap relation 18628440; Bulangshan Blang Ethnic Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-3796604A4DCB1C4D,PLC-000001,standard_name,"""布朗山""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628440,,,OpenStreetMap relation 18628440（布朗山布朗族鄉）,C,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-SITE-B4420C6A2C545AC4,PLC-000002,admin_level,"""山地文化景觀／世界遺產地""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,UNESCO：Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-DA80E8384184F588B573,PLC-000002,admin_level,"""山頭／世界遺產地""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,"World Heritage property 1665; coordinates N22 11 03 E100 00 27; location Huimin Town, Pu'er City, Yunnan",A,2026-08-01T07:58:19+00:00,UNESCO property reference coordinate; CC BY-SA 3.0 IGO review.
PEV-92482AB54DC72AA63A16,PLC-000002,latitude,22.1841667,SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,"World Heritage property 1665; coordinates N22 11 03 E100 00 27; location Huimin Town, Pu'er City, Yunnan",A,2026-08-01T07:58:19+00:00,UNESCO property reference coordinate; CC BY-SA 3.0 IGO review.
PEV-SITE-794A640960D26EF3,PLC-000002,latitude,22.1841667,SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,World Heritage property 1665；N22 11 03 E100 00 27,A,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-573DD99A57D093BC3877,PLC-000002,longitude,100.0075,SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,"World Heritage property 1665; coordinates N22 11 03 E100 00 27; location Huimin Town, Pu'er City, Yunnan",A,2026-08-01T07:58:19+00:00,UNESCO property reference coordinate; CC BY-SA 3.0 IGO review.
PEV-SITE-0C9469406490E0F5,PLC-000002,longitude,100.0075,SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,World Heritage property 1665；N22 11 03 E100 00 27,A,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-SITE-1C2AD4CF8553E209,PLC-000002,parent_place_id,"""PLC-000012""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,UNESCO：Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-45DBC5C595E91AB88322,PLC-000002,parent_place_id,"""PLC-000008""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,"World Heritage property 1665; coordinates N22 11 03 E100 00 27; location Huimin Town, Pu'er City, Yunnan",A,2026-08-01T07:58:19+00:00,UNESCO property reference coordinate; CC BY-SA 3.0 IGO review.
PEV-FB1BAC0D3F715A7F2A5D,PLC-000002,precision,"""UNESCO_property_reference_point""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,"World Heritage property 1665; coordinates N22 11 03 E100 00 27; location Huimin Town, Pu'er City, Yunnan",A,2026-08-01T07:58:19+00:00,UNESCO property reference coordinate; CC BY-SA 3.0 IGO review.
PEV-SITE-1C453E9CDAD312BF,PLC-000002,precision,"""UNESCO 世界遺產項目公布參考點；不代表整個景觀或單一茶園""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,World Heritage property 1665；N22 11 03 E100 00 27,A,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-SITE-FF85DB58E287A7D0,PLC-000002,standard_name,"""景邁山""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,UNESCO：Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-9FC666AAA4E815F76B3B,PLC-000002,standard_name,"""景邁山""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,"World Heritage property 1665; coordinates N22 11 03 E100 00 27; location Huimin Town, Pu'er City, Yunnan",A,2026-08-01T07:58:19+00:00,UNESCO property reference coordinate; CC BY-SA 3.0 IGO review.
PEV-AFEC90A0BFABC98C85F5,PLC-000003,admin_level,"""省""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R913094&format=jsonv2,,,OpenStreetMap relation 913094; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-EDE3A56E0EC4DD5A,PLC-000003,admin_level,"""省""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,UNESCO 景邁山世界遺產頁,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-BD9396EEB3B761124A41,PLC-000003,latitude,25.0,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R913094&format=jsonv2,,,OpenStreetMap relation 913094; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-40976A4321D30A0B,PLC-000003,latitude,25.0,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/913094,,,OSM relation 913094；雲南省行政區標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-37E5644652510E55A332,PLC-000003,longitude,102.0,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R913094&format=jsonv2,,,OpenStreetMap relation 913094; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-9AF6D761BFFBEBE7,PLC-000003,longitude,102.0,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/913094,,,OSM relation 913094；雲南省行政區標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-30FE61F46B059ED5D35C,PLC-000003,precision,"""administrative_area_label_point""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R913094&format=jsonv2,,,OpenStreetMap relation 913094; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-2D73E264B23243B1,PLC-000003,precision,"""OSM 行政區 relation 標籤點；非省域幾何中心或茶園位置""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/913094,,,OSM relation 913094；雲南省行政區標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-8FBE78BCFBFF42500E66,PLC-000003,standard_name,"""雲南省""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R913094&format=jsonv2,,,OpenStreetMap relation 913094; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-07D45040078C2C2C,PLC-000003,standard_name,"""雲南省""",SRC-000014,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1665,,,UNESCO 景邁山世界遺產頁,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-C6E80838167241E780AE,PLC-000004,admin_level,"""自治州""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R2715398&format=jsonv2,,,OpenStreetMap relation 2715398; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-FC89CA49BE416119,PLC-000004,admin_level,"""自治州""",SRC-000006,FAO,https://www.fao.org/family-farming/detail/zh/c/282396/,,,FAO 家庭農業知識平台：普洱茶農業文化系統,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-44968EB282C3CCF494B7,PLC-000004,latitude,22.0116128,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R2715398&format=jsonv2,,,OpenStreetMap relation 2715398; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-731C558C8FE6D13D,PLC-000004,latitude,22.0116128,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/2715398,,,OSM relation 2715398；西雙版納傣族自治州,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-A774AFE07E3DDDE87CF4,PLC-000004,longitude,100.7960029,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R2715398&format=jsonv2,,,OpenStreetMap relation 2715398; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-6002CCC2E4891BD7,PLC-000004,longitude,100.7960029,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/2715398,,,OSM relation 2715398；西雙版納傣族自治州,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-A621C9934A40A3E23B7C,PLC-000004,parent_place_id,"""PLC-000003""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R2715398&format=jsonv2,,,OpenStreetMap relation 2715398; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-DE22E18F015AC8B9,PLC-000004,parent_place_id,"""PLC-000003""",SRC-000006,FAO,https://www.fao.org/family-farming/detail/zh/c/282396/,,,FAO 家庭農業知識平台：普洱茶農業文化系統,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-545380A025A40E1DEB41,PLC-000004,precision,"""administrative_area_label_point""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R2715398&format=jsonv2,,,OpenStreetMap relation 2715398; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-F74E45BFF2AE58D2,PLC-000004,precision,"""OSM 行政區 relation 標籤點；非自治州幾何中心或茶園位置""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/2715398,,,OSM relation 2715398；西雙版納傣族自治州,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-2923EC3F0927499F980E,PLC-000004,standard_name,"""西雙版納州""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R2715398&format=jsonv2,,,OpenStreetMap relation 2715398; Nominatim administrative-area label point,C,2026-08-01T07:58:19+00:00,"Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-E55FC51588D10BF7,PLC-000004,standard_name,"""西雙版納傣族自治州""",SRC-000006,FAO,https://www.fao.org/family-farming/detail/zh/c/282396/,,,FAO 家庭農業知識平台：普洱茶農業文化系統,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-D0615444E0BB91500AA4,PLC-000005,admin_level,"""茶區／鄉級地名""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628625&format=jsonv2,,,OpenStreetMap relation 18628625; Mengsong Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與受控茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-E1E51B31517C4255,PLC-000005,admin_level,"""茶區／鄉級地名""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628625,,,OpenStreetMap relation 18628625（勐宋鄉）,C,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-27BD651E925A91870F3D,PLC-000005,latitude,22.0546005,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628625&format=jsonv2,,,OpenStreetMap relation 18628625; Mengsong Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與受控茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-7DCEFCC9AAC669D3,PLC-000005,latitude,22.0546005,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628625,,,OSM relation 18628625；勐宋鄉標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-F426E4B08C073F72A857,PLC-000005,longitude,100.563337,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628625&format=jsonv2,,,OpenStreetMap relation 18628625; Mengsong Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與受控茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-FF1BE4C6DDCA74D7,PLC-000005,longitude,100.563337,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628625,,,OSM relation 18628625；勐宋鄉標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-A2772AEB03025CF61309,PLC-000005,parent_place_id,"""PLC-000004""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628625&format=jsonv2,,,OpenStreetMap relation 18628625; Mengsong Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與受控茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-880C9C770454F381,PLC-000005,parent_place_id,"""PLC-000044""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628625,,,OpenStreetMap relation 18628625（勐宋鄉）,C,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-F5582853578FF59B9D1B,PLC-000005,precision,"""administrative_area_label_point""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628625&format=jsonv2,,,OpenStreetMap relation 18628625; Mengsong Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與受控茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-E00E099422FFAD41,PLC-000005,precision,"""同名行政鄉的 OSM relation 標籤點；只作茶區近似定位，不代表茶園邊界""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628625,,,OSM relation 18628625；勐宋鄉標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-B65B2A4BEF27B66D455C,PLC-000005,standard_name,"""勐宋茶區""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628625&format=jsonv2,,,OpenStreetMap relation 18628625; Mengsong Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與受控茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-4A42C98F3C5FF726,PLC-000005,standard_name,"""勐宋茶區""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628625,,,OpenStreetMap relation 18628625（勐宋鄉）,C,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-F3637FF0435DC0B8A414,PLC-000006,admin_level,"""茶區／行政村""",SRC-000008,Chinese government public information,https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf,,,DB53/T 1176.13—2023 table: 布朗山布朗族乡 532822206000; 班章村 532822206202,A,2026-08-01T07:58:19+00:00,官方行政村編碼用於確認班章村隸屬布朗山布朗族鄉；茶區是受控知識庫標籤。
PEV-SITE-8BA6FA38B0D85A2E,PLC-000006,admin_level,"""茶區／行政村""",SRC-000008,Chinese government public information,https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf,,,DB53/T 1176.13—2023 行政村編碼表（布朗山鄉、班章村）,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-721157CE24522E450D22,PLC-000006,parent_place_id,"""PLC-000001""",SRC-000008,Chinese government public information,https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf,,,DB53/T 1176.13—2023 table: 布朗山布朗族乡 532822206000; 班章村 532822206202,A,2026-08-01T07:58:19+00:00,官方行政村編碼用於確認班章村隸屬布朗山布朗族鄉；茶區是受控知識庫標籤。
PEV-SITE-F08AF8FA961F3EBF,PLC-000006,parent_place_id,"""PLC-000001""",SRC-000008,Chinese government public information,https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf,,,DB53/T 1176.13—2023 行政村編碼表（布朗山鄉、班章村）,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-71F24FFB12BBE767DB36,PLC-000006,standard_name,"""班章茶區""",SRC-000008,Chinese government public information,https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf,,,DB53/T 1176.13—2023 table: 布朗山布朗族乡 532822206000; 班章村 532822206202,A,2026-08-01T07:58:19+00:00,官方行政村編碼用於確認班章村隸屬布朗山布朗族鄉；茶區是受控知識庫標籤。
PEV-SITE-A23FDE414AA3B3A4,PLC-000006,standard_name,"""班章茶區""",SRC-000008,Chinese government public information,https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf,,,DB53/T 1176.13—2023 行政村編碼表（布朗山鄉、班章村）,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-07400F7A13ABB7505BF5,PLC-000007,admin_level,"""茶山／行政村""",SRC-000008,Chinese government public information,https://mz.yn.gov.cn/html/2025/difangdongtai_0325/4058616.html,,,Page title and lead: 西雙版納州勐海縣勐混鎮賀開村；古茶山,A,2026-08-01T07:58:19+00:00,官方頁面確認地名及州級包含；父層欄位不是直接行政父層。
PEV-SITE-3B3C9246ACF446FF,PLC-000007,admin_level,"""茶山／行政村""",SRC-000008,Chinese government public information,https://mz.yn.gov.cn/html/2025/difangdongtai_0325/4058616.html,,,雲南省民族宗教事務委員會：勐海縣勐混鎮賀開村,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-2203230FF0BE92BE4FFE,PLC-000007,parent_place_id,"""PLC-000004""",SRC-000008,Chinese government public information,https://mz.yn.gov.cn/html/2025/difangdongtai_0325/4058616.html,,,Page title and lead: 西雙版納州勐海縣勐混鎮賀開村；古茶山,A,2026-08-01T07:58:19+00:00,官方頁面確認地名及州級包含；父層欄位不是直接行政父層。
PEV-SITE-32A0415C9ED2CBE2,PLC-000007,parent_place_id,"""PLC-000044""",SRC-000008,Chinese government public information,https://mz.yn.gov.cn/html/2025/difangdongtai_0325/4058616.html,,,雲南省民族宗教事務委員會：勐海縣勐混鎮賀開村,A,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
