historical_source_id,title_traditional,title_simplified,creator,work_date,edition_date,source_type,geographic_scope,relevance_summary,source_criticism,official_or_archive_url,local_document_id,rights_status,transcription_status,curation_status,updated_at
HIS-000024,景邁山古茶林文化景觀世界遺產提名檔案,景迈山古茶林文化景观世界遗产提名档案,中華人民共和國申報；UNESCO世界遺產中心存檔,2021–2023年提名程序,UNESCO Property 1665 Nomination Text、Annexes、Maps及Management Plan,世界遺產提名檔案,普洱市瀾滄縣景邁山,提供遺產邊界、五片古茶林、九個傳統村寨、三片分隔防護林、管理制度與價值論證，是網站景邁地理模型的主要來源。,提名論證、地圖、管理計劃與最終委員會決議功能不同；商品產地或品質不能由世界遺產身份推定。,https://whc.unesco.org/en/list/1665/documents/,,UNESCO文件；各檔案依其使用條款,官方文件集可查；關鍵地名已逐項建檔,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000020,《雲南省古茶樹保護條例》,《云南省古茶树保护条例》,雲南省人民代表大會常務委員會,2022-11-30通過；2023-03-01施行,雲南人大網官方全文,地方性法規,雲南省,以樹齡100年以上的野生及栽培型茶樹為保護對象，規定調查、名錄、保護範圍、養護、研究與利用制度。,法規中的『古茶樹』是法律操作定義，不等於市場上所有『古樹茶』聲稱已獲登記；具體名錄與保護範圍仍須查縣級公開資料。,https://www.ynrd.gov.cn/html/2022/sssjrdcwhdsswuchy_1130/19706.html,,政府公開法規,官方全文可查,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000025,ICOMOS景邁山評估與世界遺產委員會決議,ICOMOS景迈山评估与世界遗产委员会决议,ICOMOS；UNESCO世界遺產委員會,2022–2023年,第45屆擴大會議正式文件,國際遺產評估與決議,景邁山古茶林文化景觀,記錄顧問機構如何評估突出普遍價值、真實性、完整性、保護與管理，以及委員會最終列入條件。,顧問評估可提出保留或修正意見，不能與申報方陳述混成同一立場；最終法律地位以委員會決議和正式邊界為準。,https://whc.unesco.org/en/list/1665/documents/,,UNESCO／ICOMOS公開文件；依各檔案條款,官方文件可查；核心決議已核,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000022,《2021年度雲南省茶葉產業發展報告》,《2021年度云南省茶叶产业发展报告》,雲南省茶葉產業工作組、專家組,2022年發布（報告2021年度）,雲南省農業農村廳PDF,官方年度產業報告,雲南省,提供產茶州市、面積、產量、產品結構及政策背景，是重建21世紀產業規模時可定位年份的官方快照。,行政統計口徑、修訂與普洱茶／全茶類範圍必須分開；單一年度數據不可與不同口徑年份直接串成趨勢。,https://nync.yn.gov.cn/uploadfile/s38/2022/0811/20220811110043249.pdf,,政府公開報告,PDF可查；表格口徑待欄位化,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000021,《雲南省茶馬古道保護利用條例》,《云南省茶马古道保护利用条例》,雲南省地方立法機關,2026年施行版本,雲南省民族宗教事務委員會轉載的官方資訊,地方性法規／文化線路保護,雲南省茶馬古道相關區域,建立茶馬古道路線、遺存、文化及利用的制度框架，有助把『茶馬古道』從泛稱拆回可登記、可保護的具體對象。,法定保護對象與旅遊宣傳路線未必一致；引用前須核對正式公報文本、施行日期及地方名錄。,https://mzzj.yn.gov.cn/html/2025/difangdongtai_1201/4061605.html,,政府公開資料,官方資訊可查；正式公報版本持續核對,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000002,《雲南志略》,《云南志略》,李京,元大德年間（1297–1307）,雲南省圖書館數碼影像本,元代地志,雲南行省,提供元代雲南行政、物產與族群記述，可用作茶葉史地名及社會背景的同時代材料。,內容是特定官員與時代的分類及觀察，不可把舊族稱、行政邊界或物產記錄直接套到今日；須逐條標明卷頁。,https://commons.wikimedia.org/wiki/File:Ynlib29010672-0001-%E9%9B%B2%E5%8D%97%E5%BF%97%E7%95%A5.pdf,,公版古籍掃描,影像可查；尚無本庫校訂全文,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000006,《物理小識》,《物理小识》,方以智,明末清初,CADAL 公開數碼影像（上、下冊）,明清之際博物筆記,中國物產與技藝；含滇茶轉述線索,後世普洱茶文獻常引其『普雨茶』條；可用來考察名稱、蒸團與交換敘述的引文鏈。,須先核對原卷原字及底本，避免只從《本草綱目拾遺》等後出作品倒引；『普雨』是否為普洱及原句標點都需版本證據。,https://commons.wikimedia.org/wiki/File:CADAL09000279_%E7%89%A9%E7%90%86%E5%B0%8F%E8%AD%98%C2%B7%EF%BC%88%E4%B8%8A%EF%BC%89.djvu,,公版古籍掃描,影像可查；目標條文待雙人校錄,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000003,《萬曆雲南通志》,《万历云南通志》,明代雲南地方官修；具體纂修責任依卷首核對,明萬曆年間,《大理叢書·方志篇》影印整合本,明代省級方志,雲南,可追查明代雲南府州、物產、道路與行政記述，為判讀後世『六大茶山』敘事前的區域背景材料。,影印整合本不是原刻本本身；應核對卷首、底本與缺頁，且『茶』的出現不自動等同現代普洱茶類。,https://commons.wikimedia.org/wiki/File:%E5%A4%A7%E7%90%86%E5%8F%A2%E6%9B%B8-%E6%96%B9%E5%BF%97%E7%AF%87-1-2-%E3%80%94%E8%90%AC%E6%9B%86%E3%80%95%E9%9B%B2%E5%8D%97%E9%80%9A%E5%BF%97.pdf,,古籍公版；影印編纂權利須依檔案頁,影像可查；待逐卷索引,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000004,《滇略》,《滇略》,謝肇淛,明萬曆末年,美國國會圖書館藏明刻本影像,明代雲南專志,雲南,十卷分類記述雲南，可供追查明末物產、山川、行政與交通語境，並與清代地志互校。,作者取材兼有前代文獻與見聞；引用茶事須區分作者親見、轉引及類書材料，不可只引用現代重排文字。,https://commons.wikimedia.org/wiki/File:LOC2014514409-%E6%BB%87%E7%95%A5-%E8%AC%9D%E8%82%87%E6%B7%9B%E8%BC%AF-%E6%98%8E%E8%90%AC%E6%9B%86%E9%96%93%E5%88%BB%E6%9C%AC-%E8%A1%8C%E4%BA%BA%E5%8F%B8%E8%88%8A%E8%97%8F%E6%9C%AC.pdf,,公版古籍掃描,影像可查；待茶事條目索引,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000009,《滇海虞衡志》,《滇海虞衡志》,檀萃,清乾隆至嘉慶之際,嘉慶九年（1804）刊本數碼影像,清代雲南物產志,雲南,以山川、物產及社會見聞為重點，普洱茶史研究常據此討論茶山、產量與流通，是需要回到原卷的核心史料。,作者見聞與傳聞並存；流傳名句常被省略前後文或改字。使用時須記卷次、頁面、版本，並與方志及行政檔案互證。,https://commons.wikimedia.org/wiki/File:%E6%BB%87%E6%B5%B7%E8%99%9E%E8%A1%A1%E5%BF%97_-_%E5%98%89%E6%85%B6%E4%B9%9D%E5%B9%B4_(1804).pdf,,公版古籍掃描,完整影像可查；茶事段落待雙人校錄,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000010,《南詔備考》,《南诏备考》,清代編纂者；依所用版本卷首核對,清代,公開數碼影像分卷本,清代南詔史料彙編,南詔及雲南歷史,《本草綱目拾遺》普洱茶條引用此書談六茶山，因而是辨認後世引文鏈與版本差異的重要線索。,它是後出史料彙編，不是南詔時代同時代記錄；須確認引文是否真的見於所核版本，以及是否又轉引更早文獻。,https://commons.wikimedia.org/wiki/File:SSID-12896569_%E5%8D%97%E8%A9%94%E5%82%99%E8%80%83_%E5%8D%B71.pdf,,公版古籍掃描,分卷影像可查；引文位置待核,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000016,《續雲南通志稿》,《续云南通志稿》,清末雲南通志局官修,清光緒至宣統年間,CADAL 分冊數碼影像,清末省級通志稿,雲南,續接前代省志，適合檢索清末茶葉物產、商路、行政與社會資料，並與府志互證。,篇幅龐大且不同數碼冊可能來自不同底本；在建立冊卷對照前，不以搜尋命中數代替史料覆蓋。,https://commons.wikimedia.org/wiki/File:CADAL11203626_%E7%BA%8C%E9%9B%B2%E5%8D%97%E9%80%9A%E5%BF%97%E7%A8%BF.djvu,,公版古籍掃描,部分分冊影像可查；待冊卷盤點,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000011,《滇繫》,《滇系》,師範,清嘉慶年間,哈佛燕京圖書館藏影像及其他分卷影像,清代雲南史料彙編,雲南,彙集乾嘉以前雲南文獻，可協助追查茶葉、物產、交通及制度引文來源。,此書有刪潤、錯抄或未註來源的文獻學問題；任何茶史語句都應追到被引原書，不能把彙錄年代當事件年代。,https://commons.wikimedia.org/wiki/File:Hvd.32044068028513_%E6%BB%87%E7%B9%AB_v.1.pdf,,公版古籍掃描,影像可查；待建立引書索引,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000008,《本草綱目拾遺》普洱茶條,《本草纲目拾遗》普洱茶条,趙學敏,約1765年成書；1803年初刊,維基文庫轉錄本,清代本草著作,中國；條目涉及雲南普洱府及六茶山,集中記述清代普洱茶形制、產地、貢茶、辨偽及藥用說法，是追查後世反覆引用語句的重要線索。,本草記錄屬歷史醫藥文獻，不是現代臨床證據；條內混合《雲南志》《南詔備考》《物理小識》及作者按語，引用時必須拆開來源層次。,https://zh.wikisource.org/zh-hant/%E6%9C%AC%E8%8D%89%E7%B6%B1%E7%9B%AE%E6%8B%BE%E9%81%BA,DOC-000491,公版古籍；轉錄依平台條款,有公開轉錄；待影印本校勘,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000001,《蠻書》卷七,《蛮书》卷七,樊綽,約862年,維基文庫校錄本；版本底本須依頁面說明再核,唐代地理見聞錄,南詔及西南地區,常被用來討論南詔境內茶葉生產與飲用的早期文字線索；適合研究詞語、地域觀念及唐代外部觀察。,書中的『銀生城界諸山』不能不經歷史地理考證便直接等同今日普洱市、某座茶山或現代普洱茶產品；後世標點與轉錄亦須對照影印本。,https://zh.wikisource.org/zh-hant/%E8%A0%BB%E6%9B%B8/%E5%8D%B707,DOC-000490,公版古籍；轉錄依平台條款,有公開轉錄；待版本逐字校勘,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
