process_id,name,process_group,stage_order,purpose,inputs,outputs,controls,transformations,quality_effects,risks,sources
PRO-000010,拼配,精製與成形,7,按既定目標組合不同批次、等級或性質的原料，以取得穩定或特定風格。,具追溯資料的分級原料,拼配批次,配方 | 批次 | 稱量 | 樣品審評 | 留樣,物料組合；不應由『純料／拼配』單一標籤推定品質高低。,可調節香氣、滋味、耐泡度和批次一致性。,來源不透明、配方漂移或追溯斷裂。,"[{""label"": ""普洱茶加工技術規程（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000014,蒸壓成形,精製與成形,8,使茶料受蒸汽回軟後壓製成餅、磚、沱或其他形態。,毛茶或熟茶原料,濕熱狀態的緊壓茶,蒸汽 | 時間 | 稱量 | 壓力 | 模具 | 中心與邊緣均勻度,短時濕熱及物理壓實。,影響形狀、鬆緊、乾燥速度及後續水分遷移。,過緊、過鬆、內外乾燥不均或衛生問題。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000015,成品乾燥,精製與成形,9,把蒸壓後產品降至適宜水分狀態，為包裝和貯存建立安全基礎。,蒸壓後緊壓茶,乾燥緊壓茶,溫度 | 相對濕度 | 時間 | 通風 | 中心水分,水分由內向外遷移並排出。,乾燥速度和均勻度影響後續穩定性。,中心含水偏高、霉變風險、表面過乾或吸附異味。,"[{""label"": ""普洱茶加工技術規程（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000016,包裝與批次標識,精製與成形,10,保護產品並保留產品名稱、批次、規格、產地及追溯所需資訊。,完成乾燥及檢驗的茶品,可流通的標識產品,材料合規 | 標識準確 | 批次一致 | 防潮 | 異味控制,原則上不以包裝改變茶本體。,包材透氣、防潮與氣味特性會影響保存環境。,標識誤導、批次不可追溯或包材異味。,"[{""label"": ""普洱茶質量追溯實施規程"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B67C8C49ADA26CE05397BE0A0A2266""}]"
PRO-000022,水分與含水狀態檢測,原料與品質控制,11,在毛茶、渥堆、壓製後乾燥及入庫等關鍵點取得可比較的含水資料。,具代表性的批次樣品,連同方法、單位、日期和取樣位置的檢測結果,取樣代表性 | 檢測方法 | 儀器校準 | 乾基或濕基 | 重複測定 | 記錄,屬測量活動；破壞性檢測只代表所取樣品，不可自動外推整批。,有助判斷乾燥終點、批次均勻度與貯存風險。,只量表面、未記錄基準、以單點數值代表整批。,"[{""label"": ""GB/T 8302-2013 茶 取樣"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE66D3A7E05397BE0A0AB82A""}, {""label"": ""DB5308/T 53-2020 普洱茶貯存技術規範（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D4B71AE05397BE0A0A41E1""}]"
PRO-000023,加工留樣,原料與品質控制,13,保存能代表批次與關鍵工序的樣品，供覆核、穩定性比較及爭議追溯。,按抽樣方案取得的樣品,具封識、日期、數量、保存條件與處置期限的留樣,抽樣方案 | 封識 | 留樣量 | 保存環境 | 權限 | 處置期限,理想上只發生與指定保存條件相符的變化；留樣環境不同便不能直接代表原批次。,建立批次比較與問題調查的證據鏈。,樣品不具代表性、標籤脫落、保存條件不一致或未記錄開封。,"[{""label"": ""GB/T 8302-2013 茶 取樣"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE66D3A7E05397BE0A0AB82A""}, {""label"": ""DB53/T 1074-2021 普洱茶質量追溯實施規程"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B67C8C49ADA26CE05397BE0A0A2266""}]"
PRO-000029,異物控制與成品檢驗,原料與品質控制,14,在關鍵轉運及成品放行前，按風險檢查非茶類異物、包裝完整性及規格符合情況。,待放行茶品、檢驗計劃及批次記錄,放行、隔離、返工或報廢決定,風險清單 | 設備靈敏度 | 目視檢查 | 抽樣 | 偏差記錄 | 放行權限,檢查與分選為主，不應掩蓋上游衛生控制失效。,降低可見異物及不合格品進入流通的風險。,只依賴末端檢查、設備未驗證、偏差未追查根因。,"[{""label"": ""GB/T 20014.12-2013 良好農業規範（茶葉）"", ""url"": ""https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=BBA5638ACA184D91E1B9955DE805C6BF""}, {""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000030,成品感官審評與放行,原料與品質控制,15,在一致的沖泡與記錄條件下比較外形、湯色、香氣、滋味及葉底，判斷成品是否符合預定規格。,按抽樣方案取得的成品樣、對照樣及審評表,具審評條件、描述詞、偏差和放行結論的紀錄,取樣 | 審評用水 | 茶水比 | 水溫 | 時間 | 盲評 | 評審校準,沖泡萃取使樣品可被比較；審評結果受方法與評審者條件影響。,可檢出批次偏差、異味及規格不一致。,非盲評偏差、用市場詞取代操作定義、把偏好當安全結論。,"[{""label"": ""GB/T 23776-2018 茶葉感官審評方法"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 14487-2017 茶葉感官審評術語"", ""url"": ""https://std.samr.gov.cn/""}]"
PRO-000019,潮水,熟茶渥堆,20,向曬青毛茶加入受控水量，使堆體具備適合渥堆轉化的水分條件。,曬青毛茶與符合要求的水,均勻加濕的堆料,加水量 | 水質 | 均勻度 | 原料含水量 | 環境條件,水分活度和熱量與水分傳遞條件改變，為微生物與化學轉化提供環境。,直接影響堆溫、轉化速度和均勻度。,局部過濕、溫度失控、雜菌或批次不均。,"[{""label"": ""熟茶渥堆研究集合"", ""document_id"": ""DOC-000408""}, {""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000006,渥堆,熟茶渥堆,21,在受控含水、堆積、通風與翻堆條件下，促成微生物群落、熱量及茶葉成分的連續變化。,完成潮水的曬青毛茶,達到工藝終點的熟茶堆料,堆溫 | 含水 | 相對濕度 | 堆高 | 通風 | 時間 | 衛生,微生物代謝、氧化、聚合、水解及熱效應相互作用；不同研究的菌群結果受取樣和測序方法影響。,色澤轉深，苦澀、醇厚、陳香等感官屬性可發生系統變化。,過熱、乾濕不均、污染、異味及不當菌種推論。,"[{""label"": ""DOC-000408 工業渥堆階段研究"", ""document_id"": ""DOC-000408""}, {""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000024,渥堆溫度與環境監測,熟茶渥堆,21.1,以固定位置、深度和頻率記錄堆體內外溫度及環境條件，支援翻堆與風險判斷。,渥堆批次、校準量測工具及監測方案,可回溯的時間序列與異常處理紀錄,測點位置 | 深度 | 頻率 | 儀器校準 | 環境溫濕度 | 須採取處理措施的異常情況與判準,監測本身不造成工藝轉化，但量測安排會影響對堆內異質性的理解。,可減少局部過熱或工藝失控而未被發現的機會。,只有單點、測點漂移、補記數據或把相關性當成終點判定。,"[{""label"": ""DOC-000408 工業渥堆階段研究"", ""document_id"": ""DOC-000408""}, {""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000025,渥堆分層取樣,熟茶渥堆,21.2,從堆體不同位置、深度及時間點採樣，描述水分、微生物、化學或感官變化的空間差異。,渥堆批次與預先制定的取樣設計,具位置、時間、處理及保存資料的樣品組,位置分層 | 時間點 | 工具潔淨 | 樣品量 | 保存 | 交叉污染,抽樣會擾動局部堆體；實驗室結果只在取樣設計支持的範圍內外推。,能識別平均值掩蓋的局部乾濕、溫度或菌群差異。,便利取樣、樣品混淆、延遲冷藏或以一次取樣代表全程。,"[{""label"": ""DOC-000408 工業渥堆階段研究"", ""document_id"": ""DOC-000408""}, {""label"": ""GB/T 8302-2013 茶 取樣"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE66D3A7E05397BE0A0AB82A""}]"
PRO-000009,翻堆,熟茶渥堆,22,重新分配堆體內外的水分、溫度、氧氣與物料，降低局部失控。,渥堆中的茶料,重新混合的堆料,時機 | 頻率 | 堆溫分布 | 含水分布 | 衛生,改變氧與熱量與水分傳遞，間接重塑微生物生境。,有助批次轉化均勻。,時機不當、污染或水分大量散失。,"[{""label"": ""DOC-000408"", ""document_id"": ""DOC-000408""}]"
PRO-000026,熟茶發酵終點判定,熟茶渥堆,22.8,綜合堆溫趨勢、含水狀態、葉相、氣味、滋味及既定工藝規格，決定是否起堆。,過程記錄、代表性樣品與產品規格,有理由及簽署紀錄的繼續、翻堆或起堆決定,多指標判定 | 樣品代表性 | 審評條件 | 規格版本 | 決策者 | 偏差處置,判定本身不轉化產品；它界定高水分渥堆階段何時結束。,影響熟度、堆味、澀感、葉底及後續乾燥穩定性。,只憑顏色或天數、過早起堆、過度發酵及決策無紀錄。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}, {""label"": ""熟茶渥堆研究集合"", ""document_id"": ""DOC-000408""}]"
PRO-000020,起堆,熟茶渥堆,23,在達到工藝終點後把茶料離開發酵堆，轉入解塊、乾燥、分級或後續精製。,完成渥堆的茶料,待乾燥或精製的熟茶,終點判定 | 堆溫 | 含水 | 感官 | 批次記錄,高強度堆積階段結束，但後續乾燥與貯存仍會改變產品。,終點判定影響熟度、異味及後續穩定性。,過早、過度發酵或乾燥延誤。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000027,熟茶解塊與散堆,熟茶渥堆,24,起堆後把結塊茶料分散、降溫並改善後續乾燥的均勻性。,完成起堆的濕熱茶料,較均勻、待乾燥的熟茶散料,解塊程度 | 茶層厚度 | 通風 | 潔淨度 | 降溫速度 | 批次隔離,改變物理結構、熱量及水分分布；高強度轉化逐步下降。,有助減少局部高水分與悶雜氣。,交叉污染、異物混入、表乾內濕或批次混淆。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000028,熟茶乾燥,熟茶渥堆,25,在起堆及解塊後降低茶料含水並穩定批次，為分級、精製或貯存作準備。,完成渥堆的濕茶料,達到既定水分與均勻度的熟茶散料,溫度 | 時間 | 茶層 | 通風 | 水分均勻度 | 再吸濕,排出水分和部分揮發物；過強熱處理也可造成香氣與滋味損失。,影響堆味散逸、香氣保存及貯存安全。,乾燥不足、局部過熱、設備異味、出料後回潮。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}, {""label"": ""GB/T 30375-2013 茶葉貯存"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE69D3A7E05397BE0A0AB82A""}]"
PRO-000003,倉儲,貯存與陳化,30,在可管理環境中保存茶品，控制水分、溫度、異味、污染、蟲害與批次資料。,完成包裝或具保護措施的茶品,在指定條件與期間後的茶品,相對濕度 | 溫度 | 通風 | 水分 | 潔淨度 | 異味 | 蟲害 | 批次,保存與陳化同時可能發生，但時間本身不保證品質提升。,研究顯示香氣、滋味、色澤及代謝物可隨條件與時間改變。,霉變、異味、受潮、污染和年份或倉別不可追溯。,"[{""label"": ""DB5308/T 53-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D4B71AE05397BE0A0A41E1""}, {""label"": ""DOC-000404 九年熟茶貯存研究"", ""document_id"": ""DOC-000404""}]"
PRO-000017,醒茶,消費與沖泡,40,市場和日常品飲中，泛指拆散、短期靜置或讓茶品適應新環境；做法並無單一標準。,待飲用茶品,準備沖泡的茶樣,時間 | 容器 | 環境潔淨 | 濕度 | 異味,通常以物理通風、溫濕平衡和揮發物釋放為主；證據有限。,可能改變即時香氣感受，但不能當作修復霉變或污染的方法。,受潮、吸味、交叉污染。,"[{""label"": ""茶葉貯存通用框架"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EE69D3A7E05397BE0A0AB82A""}]"
PRO-000018,沖泡,消費與沖泡,41,以水萃取茶葉可溶性成分並形成可感知的香氣、滋味和口感。,茶、水、器具與沖泡參數,茶湯與沖泡後葉底,茶水比 | 水溫 | 時間 | 用水 | 器具 | 沖泡次數,溶解、擴散、揮發與溫度依賴的萃取。,參數可明顯改變濃度與感官，專業審評法的目的在比較，不必等同日常品飲。,燙傷、器具衛生，或以單一沖泡法宣稱絕對優劣。,"[{""label"": ""GB/T 23776-2018"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]"
